product,indexer,ratingName,riskScore,minTax,quantityAvailable,puMinValue,bank,maturity_date
LCA,Pré-fixado,AAA,7.0,12.65,29028,973.5541414,BANCO DLL,2028-05-01
LCA,Pré-fixado,brAAA,9.0,11.5,913581,100.7215106,BANCO BV,2029-03-01
CDB,Pós-fixado,,11.0,116.0,19850,1000.0,DM FINANCEIRA,2029-05-01
CDB,Pós-fixado,,11.0,113.0,19947,1000.0,DM FINANCEIRA,2028-05-01
CDB,Pós-fixado,,11.0,113.0,3961,1000.0,PERNAMBUCANAS FINANCIADOR,2028-05-01
CDB,Pós-fixado,,8.0,112.0,19653,1000.0,DM FINANCEIRA,2027-05-01
CDB,Pós-fixado,,11.0,111.5,5377,1000.0,NEON FINANCEIRA,2028-05-01
CDB,Pós-fixado,,8.0,111.0,1683,1000.0,AFINZ,2027-05-01
CDB,Pós-fixado,brBBB,8.0,110.0,9655,1000.0,ORIGINAL,2028-05-01
CDB,Pós-fixado,,8.0,110.0,3962,1000.0,PERNAMBUCANAS FINANCIADOR,2027-05-01
CDB,Pós-fixado,brBBB,7.0,109.0,3717,1000.0,ORIGINAL,2027-05-01
CDB,Pós-fixado,,12.0,108.0,19995,1000.0,MIDWAY,2030-05-01
CDB,Pós-fixado,,8.0,108.0,746,1000.0,AFINZ,2026-05-01
CDB,Pós-fixado,,11.0,108.0,19995,1000.0,MIDWAY,2029-05-01
CDB,Pós-fixado,,11.0,108.0,19995,1000.0,MIDWAY,2028-05-01
CDB,Pós-fixado,brAAA,1.0,101.5,98271528,1.0,PAGBANK,2025-09-01
CDB,Pós-fixado,brAAA,1.0,101.25,99509384,1.0,PAGBANK,2025-08-01
CDB,Pós-fixado,brAAA,1.0,100.5,99739078,1.0,PAGBANK,2025-07-01
CDB,Pós-fixado,brAAA,1.0,100.0,384053,1000.0,BANCO XP,2027-05-01
CDB,Pós-fixado,brAAA,1.0,100.0,9384,1000.0,BANCO VOLKSWAGEN,2026-05-01
CDB,Pós-fixado,brAAA,1.0,100.0,99493017,1.0,PAGBANK,2025-06-01
CDB,Pós-fixado,brAAA,1.0,98.5,9994,1000.0,BANCO VOLKSWAGEN,2027-05-01
LCA,Pós-fixado,AAA,5.0,94.0,96886,1000.0,BANCO COOPERATIVO SICOOB,2030-04-01
LCA,Pós-fixado,AAA,4.0,93.0,49887,1000.0,BANCO COOPERATIVO SICOOB,2029-04-01
LCA,Pós-fixado,brBBB,7.0,93.0,24847,1000.0,ORIGINAL,2027-05-01
LCD,Pós-fixado,brAAA,6.0,93.0,32834,10439.59113,,2030-03-01
LCA,Pós-fixado,brBBB,7.0,92.5,24639,1000.0,ORIGINAL,2026-11-01
LCD,Pós-fixado,AAA,3.0,92.0,20000,1073.79054,,2027-12-01
LCA,Pós-fixado,brBBB,7.0,92.0,23921,1000.0,ORIGINAL,2026-05-01
LCI,Pós-fixado,brAAA,2.0,92.0,1000,5000000.0,CEF,2027-05-01
LCD,Pós-fixado,brAAA,5.0,92.0,32492,10384.61169,,2029-03-01
LCD,Pós-fixado,AAA,2.0,91.0,10000,1064.177209,,2026-12-01
LCI,Pós-fixado,brAAA,2.0,91.0,999,1000000.0,CEF,2027-05-01
LCI,Pós-fixado,brAAA,2.0,91.0,118854,1000.0,BANCO XP,2026-05-01
LCA,Pós-fixado,AAA,3.0,91.0,49975,1000.0,BANCO COOPERATIVO SICOOB,2028-04-01
LCI,Pós-fixado,brAAA,2.0,90.5,1000,500000.0,CEF,2027-05-01
LCD,Pós-fixado,AAA,2.0,90.0,10000,1061.060307,,2026-06-01
LCI,Pós-fixado,brAAA,2.0,90.0,1000,250000.0,CEF,2027-05-01
LCA,Pós-fixado,AAA,2.0,90.0,49970,1000.0,BANCO COOPERATIVO SICOOB,2027-05-01
LCA,Pós-fixado,AAA,2.0,89.0,49990,1000.0,BANCO COOPERATIVO SICOOB,2026-05-01
LCA,Pós-fixado,AAA,2.0,89.0,49923,1000.0,BANCO COOPERATIVO SICOOB,2026-02-01
CDB,Pré-fixado,AAA.br,2.0,17.87,68455,1.06837408,NUBANK,2025-08-01
CDB,Pré-fixado,A,2.0,16.85,118,1.3776067,BMG,2025-12-01
LCA,Pré-fixado,brAAA,3.0,14.15,6,96.788994,BANCO BV,2026-10-01
CDB,Inflação,A,2.0,10.03,1830,1.23227342,BMG,2025-07-01
CDB,Inflação,A,2.0,10.01,94,1.59777478,BMG,2025-07-01
CDB,Inflação,A,2.0,9.52,90,1.38221169,BMG,2025-08-01
CDB,Inflação,A,2.0,8.65,3082,1.12350186,BMG,2026-04-01
CDB,Inflação,A,2.0,8.48,35008,1.70498766,BMG,2026-06-01
