product,indexer,ratingName,riskScore,minTax,quantityAvailable,puMinValue,bank,maturity_date
LCA,Pré-fixado,AAA,,13.1,20000,1000.0,BANCO COOPERATIVO SICOOB,2025-12-01
LCA,Pré-fixado,AAA,,12.65,20000,1000.0,BANCO COOPERATIVO SICOOB,2027-05-01
CDB,Pós-fixado,A.br,3.0,108.5,9451,1000.0,PICPAY,2028-06-01
CDB,Pós-fixado,A.br,4.0,108.5,2969,1000.0,PICPAY,2029-06-01
CDB,Pós-fixado,A.br,5.0,108.5,2801,1000.0,PICPAY,2030-06-01
CDB,Pós-fixado,A.br,2.0,108.0,8939,1000.0,PICPAY,2027-06-01
CDB,Pós-fixado,A.br,2.0,107.75,1613,1000.0,PICPAY,2026-11-01
CDB,Pós-fixado,brBBB,8.0,107.5,9704,1000.0,ORIGINAL,2028-06-01
CDB,Pós-fixado,A.br,2.0,107.5,928,1000.0,PICPAY,2026-06-01
CDB,Pós-fixado,brBBB,7.0,106.5,3741,1000.0,ORIGINAL,2027-06-01
CDB,Pós-fixado,,12.0,105.0,20000,1000.0,MIDWAY,2030-06-01
CDB,Pós-fixado,,11.0,105.0,20000,1000.0,MIDWAY,2029-06-01
CDB,Pós-fixado,,11.0,105.0,19999,1000.0,MIDWAY,2028-06-01
CDB,Pós-fixado,brAAA,1.0,100.0,620985,1000.0,BANCO XP,2027-06-01
CDB,Pós-fixado,brAAA,1.0,100.0,9633,1000.0,BANCO VOLKSWAGEN,2026-06-01
CDB,Pós-fixado,brAAA,1.0,98.5,9995,1000.0,BANCO VOLKSWAGEN,2027-06-01
LCA,Pós-fixado,AAA,5.0,94.0,90189,1000.0,BANCO COOPERATIVO SICOOB,2030-05-01
LCD,Pós-fixado,AAA,6.0,94.0,9921,997.3515912,,2030-05-01
LCD,Pós-fixado,AAA,3.0,92.0,9911,1079.35657,,2027-12-01
LCI,Pós-fixado,brAAA,2.0,92.0,10,5000000.0,CEF,2027-06-01
LCD,Pós-fixado,AAA,2.0,91.0,9973,1069.852157,,2026-12-01
LCI,Pós-fixado,brAAA,2.0,91.0,148183,1000.0,BANCO XP,2026-06-01
LCA,Pós-fixado,AAA,4.0,91.0,49894,1000.0,BANCO COOPERATIVO SICOOB,2029-05-01
LCD,Pós-fixado,AAA,2.0,90.0,9988,1066.717903,,2026-06-01
LCI,Pós-fixado,brAAA,2.0,90.0,100,250000.0,CEF,2027-06-01
LCA,Pós-fixado,AAA,3.0,90.0,49963,1000.0,BANCO COOPERATIVO SICOOB,2028-05-01
LCA,Pós-fixado,AAA,2.0,89.0,49940,1000.0,BANCO COOPERATIVO SICOOB,2027-05-01
LCA,Pós-fixado,AAA,2.0,88.0,19918,1000.0,BANCO COOPERATIVO SICOOB,2026-05-01
LCA,Pós-fixado,AAA,2.0,87.0,19744,1000.0,BANCO COOPERATIVO SICOOB,2025-12-01
CDB,Pré-fixado,A,4.0,15.78,961,1.35686602,BMG,2027-02-01
CDB,Pré-fixado,A,3.0,16.43,433,1.21882894,BMG,2026-06-01
CDB,Pré-fixado,A,3.0,16.38,368,1.38574708,BMG,2026-07-01
CDB,Inflação,A,2.0,8.08,73,1.60597904,BMG,2026-10-01
CDB,Inflação,BBB+,7.0,8.0,11,1345.98194327,FIBRA,2026-11-01
CDB,Inflação,BBB+,7.0,8.0,15,1095.81713544,FIBRA,2026-12-01
CDB,Inflação,BBB+,8.0,8.0,156,1459.19020257,FIBRA,2027-03-01
CDB,Inflação,brBBB,8.0,8.0,22,1397.29539308,ORIGINAL,2027-02-01
CDB,Inflação,AA-.br,4.0,7.7,20,1224.41864195,AGIBANK,2027-10-01
