product,indexer,ratingName,riskScore,minTax,quantityAvailable,puMinValue,bank,maturity_date
CDB,Pós-fixado,,9.0,111.0,1545,1000.0,AFINZ,2027-05-01
CDB,Pós-fixado,,9.0,108.0,669,1000.0,AFINZ,2026-05-01
CDB,Pós-fixado,brAAA,1.0,101.5,98925286,1.0,PAGBANK,2025-09-01
CDB,Pós-fixado,brAAA,1.0,101.25,99385864,1.0,PAGBANK,2025-08-01
CDB,Pós-fixado,brAAA,1.0,100.5,99826832,1.0,PAGBANK,2025-07-01
CDB,Pós-fixado,brAAA,1.0,100.0,391063,1000.0,BANCO XP,2027-05-01
CDB,Pós-fixado,brAAA,1.0,100.0,9438,1000.0,BANCO VOLKSWAGEN,2026-05-01
CDB,Pós-fixado,brAAA,1.0,100.0,99604773,1.0,PAGBANK,2025-06-01
CDB,Pós-fixado,AAA.br,3.0,99.0,5000,1000.0,BANCO RCI BRASIL,2028-05-01
CDB,Pós-fixado,brAAA,1.0,98.5,9908,1000.0,BANCO VOLKSWAGEN,2027-05-01
CDB,Pós-fixado,AAA.br,2.0,97.5,5000,1000.0,BANCO RCI BRASIL,2027-05-01
LCA,Pós-fixado,AAA,6.0,94.0,45433,1000.0,BANCO COOPERATIVO SICOOB,2030-04-01
LCA,Pós-fixado,AAA,5.0,93.0,49819,1000.0,BANCO COOPERATIVO SICOOB,2029-04-01
LCI,Pós-fixado,brAAA,2.0,91.0,143314,1000.0,BANCO XP,2026-05-01
LCA,Pós-fixado,AAA,3.0,91.0,50000,1000.0,BANCO COOPERATIVO SICOOB,2028-04-01
LCA,Pós-fixado,AAA,2.0,90.0,49985,1000.0,BANCO COOPERATIVO SICOOB,2027-04-01
LCA,Pós-fixado,AAA,2.0,89.0,49995,1000.0,BANCO COOPERATIVO SICOOB,2026-05-01
LCA,Pós-fixado,AAA,2.0,89.0,49960,1000.0,BANCO COOPERATIVO SICOOB,2026-02-01
CDB,Pós-fixado,,11.0,114.0,19395,1000.0,DM FINANCEIRA,2028-05-01
CDB,Pós-fixado,,9.0,113.0,19427,1000.0,DM FINANCEIRA,2027-05-01
CDB,Pós-fixado,,11.0,113.0,3744,1000.0,PERNAMBUCANAS FINANCIADOR,2028-05-01
CDB,Pós-fixado,brBBB,11.0,110.0,9707,1000.0,ORIGINAL,2028-05-01
CDB,Pós-fixado,,9.0,110.0,3990,1000.0,PERNAMBUCANAS FINANCIADOR,2027-05-01
CDB,Pós-fixado,brBBB,9.0,109.0,3893,1000.0,ORIGINAL,2027-05-01
CDB,Pós-fixado,,12.0,108.0,20000,1000.0,MIDWAY,2030-05-01
CDB,Pós-fixado,,11.0,108.0,19997,1000.0,MIDWAY,2029-05-01
CDB,Pós-fixado,,11.0,108.0,19994,1000.0,MIDWAY,2028-05-01
LCA,Pós-fixado,brBBB,9.0,93.0,24253,1000.0,ORIGINAL,2027-05-01
LCA,Pós-fixado,brBBB,9.0,92.5,24437,1000.0,ORIGINAL,2026-10-01
LCA,Pós-fixado,brBBB,9.0,92.0,23781,1000.0,ORIGINAL,2026-05-01
CDB,Pré-fixado,A-,14.0,18.81,751,1.41632762,BANCO MASTER,2028-07-01
CDB,Pré-fixado,A,2.0,18.62,2119,1.43388029,BMG,2025-10-01
CDB,Pré-fixado,A,2.0,18.0,519,1.224056,BMG,2025-07-01
CDB,Pré-fixado,brBBB,11.0,17.51,65345,0.01506219,ORIGINAL,2025-09-01
CDB,Pré-fixado,A,2.0,16.95,185,1.4422072,BMG,2025-11-01
CDB,Pré-fixado,A,4.0,16.11,580,1.07389288,BMG,2026-09-01
CDB,Pré-fixado,A,4.0,15.98,14067,1.21552522,BMG,2026-11-01
CDB,Pré-fixado,A,13.0,15.0,9076,1.33299121,BMG,2028-11-01
LCA,Pré-fixado,brAA+,4.0,13.2,63008,0.01119898,DAYCOVAL,2026-09-01
CDB,Inflação,A,2.0,9.9,2630,1.22275769,BMG,2025-07-01
CDB,Inflação,A,2.0,9.9,100023,1.37294753,BMG,2025-07-01
CDB,Inflação,A,2.0,9.43,105,1.38772863,BMG,2025-08-01
CDB,Inflação,A,2.0,9.28,21005,1.18670344,BMG,2025-09-01
CDB,Inflação,A,2.0,8.96,7203,1.22801509,BMG,2025-12-01
CDB,Inflação,A,2.0,8.63,356,1.11837736,BMG,2026-04-01
CDB,Inflação,A,3.0,8.45,13519,1.71594763,BMG,2026-06-01
CDB,Inflação,A,3.0,8.45,3477,1.77265546,BMG,2026-06-01
CDB,Inflação,A,3.0,8.36,101,1.2038452,BMG,2026-07-01
CDB,Inflação,AA-.br,3.0,8.26,27,1536.63016261,AGIBANK,2026-08-01
CDB,Inflação,AA-.br,3.0,8.25,3,1563.18478093,AGIBANK,2026-08-01
CDB,Inflação,BBB+,9.0,8.21,5,1471.34481975,FIBRA,2026-09-01
CDB,Inflação,BBB+,9.0,8.2,9,1465.36643084,FIBRA,2026-09-01
CDB,Inflação,BBB+,9.0,8.15,3,1111.31956342,FIBRA,2026-10-01
CDB,Inflação,BBB+,9.0,8.1,1,1493.29569333,FIBRA,2027-03-01
CDB,Inflação,BBB+,9.0,8.1,1,1496.83165344,FIBRA,2027-03-01
CDB,Inflação,A,4.0,8.1,3250,1.70112938,BMG,2027-04-01
CDB,Inflação,BBB+,9.0,8.1,23,1068.99547455,FIBRA,2026-12-01
CDB,Inflação,brAAA,4.0,8.1,3,1468.62824215,BANCO PAN,2026-12-01
CDB,Inflação,BBB+,9.0,8.1,65,1083.84484828,FIBRA,2026-12-01
CDB,Inflação,brAAA,4.0,8.1,2,1506.62962456,BANCO PAN,2027-03-01
CDB,Inflação,brBBB,9.0,8.1,26,1382.28174485,ORIGINAL,2027-02-01
CDB,Inflação,AA-.br,4.0,8.1,16,1149.58069843,AGIBANK,2026-11-01
CDB,Inflação,BBB+,9.0,8.1,7,1317.20552209,FIBRA,2026-11-01
CDB,Inflação,brA,7.0,7.9,1,1420.80098318,PINE,2028-09-01
CDB,Inflação,AA-.br,5.0,7.75,1,1531.89101277,AGIBANK,2027-08-01
CDB,Inflação,A,5.0,7.6,478,1.11014232,BMG,2027-10-01
CDB,Inflação,A,6.0,7.6,28251,1.46468161,BMG,2027-12-01
CDB,Inflação,A,6.0,7.6,3643,1.5583309,BMG,2027-11-01
CDB,Inflação,A,7.0,7.57,11507,1.11269104,BMG,2028-05-01
CDB,Inflação,BBB+,11.0,7.45,2,1075.57503677,FIBRA,2028-10-01
CDB,Inflação,BBB+,11.0,7.41,1,1099.5817822,FIBRA,2028-07-01
CDB,Inflação,A,7.0,7.4,39442,1.38663821,BMG,2028-07-01
CDB,Inflação,A,7.0,7.35,3918,1.37054979,BMG,2028-07-01
CDB,Inflação,A,7.0,7.35,1,1064.24840958,BANCO C6 CONSIGNADO,2028-08-01
CDB,Inflação,BBB+,11.0,7.32,1,1086.30824314,FIBRA,2028-07-01
CDB,Inflação,A,9.0,7.31,103,1.06515403,BMG,2028-11-01
CDB,Inflação,,11.0,7.3,1,1149.91570785,SOCINAL CRED FINANC E,2028-08-01
CDB,Inflação,,11.0,7.3,19,1270.95043598,SOCINAL CRED FINANC E,2028-08-01
CDB,Inflação,A.br,,7.25,11,1046.71233136,BS2,2029-01-01
CDB,Inflação,BBB+,11.0,7.24,10,1429.34549134,FIBRA,2028-08-01
CDB,Inflação,A,10.0,7.2,19019,1.12387641,BMG,2029-05-01
CDB,Inflação,BBB+,11.0,7.1,74,1315.22340806,FIBRA,2029-03-01
CDB,Inflação,BBB+,11.0,7.1,5,1312.33362752,FIBRA,2029-04-01
CDB,Inflação,BBB+,12.0,7.1,1,1167.40733227,FIBRA,2029-10-01
CDB,Inflação,A,9.0,7.1,6110,1.3233543,BMG,2028-12-01
CDB,Inflação,BBB+,12.0,7.1,4,1089.80447608,FIBRA,2029-07-01
CDB,Inflação,BBB+,11.0,7.1,7,1365.45354649,FIBRA,2029-04-01
CDB,Inflação,BBB+,11.0,7.1,28,1289.05334768,FIBRA,2029-02-01
CDB,Inflação,BBB+,12.0,7.1,12,1296.54171191,FIBRA,2029-05-01
CDB,Inflação,A,9.0,7.1,503,1.10278419,BMG,2029-04-01
CDB,Inflação,BBB+,11.0,7.1,2,1316.30057241,FIBRA,2028-11-01
CDB,Inflação,BBB+,11.0,7.1,43,1342.77244093,FIBRA,2029-04-01
CDB,Inflação,BBB+,11.0,7.1,8,1130.14426203,FIBRA,2028-12-01
CDB,Inflação,BBB+,12.0,7.1,5,1067.54604167,FIBRA,2029-10-01
CDB,Inflação,BBB+,12.0,7.1,1,1122.86163299,FIBRA,2029-12-01
LCA,Inflação,brAAA,6.0,5.6,10,105.94982544,BANCO BV,2027-11-01
CDB,Pós-fixado,A,2.0,0.0,19013,1.26358427,BMG,2025-06-01
CDB,Pós-fixado,A,2.0,0.0,82055,1.26689797,BMG,2025-05-01
LCA,Pós-fixado,brAAA,2.0,101.0,9948,0.01114653,SICREDI,2025-12-01
LCA,Pós-fixado,brAAA,2.0,101.0,32778,0.0112242,SICREDI,2025-12-01
LCA,Pré-fixado,brAAA,9.0,12.47,11,100.04664399,BANCO BV,2028-02-01
CDB,Inflação,A,2.0,9.02,9820,1.23233891,BMG,2025-11-01
CDB,Inflação,BBB+,9.0,8.24,38,1057.98672607,FIBRA,2026-08-01
CDB,Inflação,BBB+,9.0,8.23,77,1066.4643671,FIBRA,2026-08-01
CDB,Inflação,BBB+,9.0,8.19,14,1112.55891195,FIBRA,2026-09-01
CDB,Inflação,BBB+,9.0,8.1,91,1470.23898388,FIBRA,2027-03-01
CDB,Inflação,AA-.br,4.0,8.1,5,1147.19464369,AGIBANK,2026-12-01
CDB,Inflação,BBB+,9.0,8.1,2,1489.09016439,FIBRA,2027-04-01
CDB,Inflação,brAAA,4.0,8.1,1,1369.05990584,BANCO PAN,2027-03-01
CDB,Inflação,BBB+,9.0,8.1,9,1567.13357213,FIBRA,2026-10-01
CDB,Inflação,BBB+,9.0,8.1,1,1450.81499517,FIBRA,2027-02-01
CDB,Inflação,BBB+,9.0,8.1,11,1331.32649347,FIBRA,2026-11-01
CDB,Inflação,brBBB,9.0,8.1,7,1395.60725102,ORIGINAL,2027-02-01
CDB,Inflação,BBB+,9.0,8.1,6,1498.95337348,FIBRA,2027-03-01
CDB,Inflação,brAAA,4.0,8.1,7,1496.04522685,BANCO PAN,2027-03-01
CDB,Inflação,BBB+,9.0,8.1,153,1442.60425731,FIBRA,2027-03-01
CDB,Inflação,brAAA,4.0,8.1,20,1429.97315216,BANCO PAN,2026-11-01
CDB,Inflação,BBB+,9.0,8.1,5,1194.37423181,FIBRA,2026-11-01
CDB,Inflação,BBB+,9.0,8.1,18,1454.19944998,FIBRA,2027-02-01
CDB,Inflação,AA-.br,4.0,8.1,1,1131.35895036,AGIBANK,2026-12-01
CDB,Inflação,BBB+,9.0,8.1,32,1111.14216823,FIBRA,2027-04-01
CDB,Inflação,brAAA,4.0,8.1,1,1472.58841393,BANCO PAN,2027-02-01
CDB,Inflação,BBB+,9.0,8.1,3,1157.34588144,FIBRA,2026-11-01
CDB,Inflação,BBB+,9.0,8.1,25,1242.62737841,FIBRA,2027-03-01
CDB,Inflação,AA-.br,4.0,8.1,2,1186.6881998,AGIBANK,2026-11-01
CDB,Inflação,brA,9.0,7.9,1,1059.08564393,PINE,2029-04-01
CDB,Inflação,brA,12.0,7.9,24,1070.39065319,PINE,2030-05-01
CDB,Inflação,AA-.br,5.0,7.79,1,1523.91257886,AGIBANK,2027-08-01
CDB,Inflação,AA-.br,5.0,7.76,2,1541.60522108,AGIBANK,2027-08-01
CDB,Inflação,AA-.br,5.0,7.75,16,1522.10346976,AGIBANK,2027-08-01
CDB,Inflação,AA-.br,5.0,7.75,16,1545.48929662,AGIBANK,2027-08-01
CDB,Inflação,AA-.br,5.0,7.7,21,1213.09938892,AGIBANK,2027-10-01
CDB,Inflação,AA-.br,6.0,7.6,1,1196.70299706,AGIBANK,2027-11-01
CDB,Inflação,AA-.br,6.0,7.6,10,1196.17681231,AGIBANK,2027-11-01
CDB,Inflação,AA-.br,6.0,7.6,2,1147.67254653,AGIBANK,2027-12-01
CDB,Inflação,AA-.br,6.0,7.6,17,1133.03493363,AGIBANK,2028-03-01
CDB,Inflação,BBB+,11.0,7.6,5,1157.0484685,FIBRA,2027-11-01
CDB,Inflação,BBB+,11.0,7.6,2,1408.27582365,FIBRA,2028-04-01
CDB,Inflação,BBB+,11.0,7.6,40,1088.68937091,FIBRA,2027-11-01
CDB,Inflação,A,5.0,7.6,107,1.11018331,BMG,2027-11-01
CDB,Inflação,AA-.br,6.0,7.6,10,1162.3666321,AGIBANK,2027-11-01
CDB,Inflação,BBB+,11.0,7.6,94,1095.81095964,FIBRA,2027-10-01
CDB,Inflação,BBB+,11.0,7.6,12,1430.30023347,FIBRA,2027-10-01
CDB,Inflação,A,5.0,7.6,18158,1.11255292,BMG,2027-10-01
CDB,Inflação,AA-.br,6.0,7.6,30,1151.03212575,AGIBANK,2027-12-01
CDB,Inflação,BBB+,11.0,7.57,11,1169.06570068,FIBRA,2028-05-01
CDB,Inflação,BBB+,11.0,7.48,4,1106.86976125,FIBRA,2028-06-01
CDB,Inflação,BBB+,11.0,7.45,1,1073.69118562,FIBRA,2028-10-01
CDB,Inflação,BBB+,11.0,7.43,52,1090.18876659,FIBRA,2028-06-01
CDB,Inflação,brAAA,7.0,7.36,5,1142.5552687,BANCO PAN,2028-07-01
CDB,Inflação,brAAA,7.0,7.29,2,1198.24566795,BANCO PAN,2028-08-01
CDB,Inflação,brAAA,7.0,7.28,94,1200.44260649,BANCO PAN,2028-08-01
CDB,Inflação,BBB+,11.0,7.27,3,1060.16066505,FIBRA,2028-08-01
CDB,Inflação,BBB+,12.0,7.25,1,1117.84829233,FIBRA,2030-06-01
CDB,Inflação,BBB+,11.0,7.1,9,1318.83395952,FIBRA,2029-04-01
CDB,Inflação,AA+,7.0,7.1,2,1432.58215962,BANCO RODOBENS,2028-10-01
CDB,Inflação,BBB+,11.0,7.1,25,1322.3364701,FIBRA,2028-10-01
CDB,Inflação,BBB+,11.0,7.1,10,1134.01521958,FIBRA,2028-12-01
CDB,Inflação,BBB+,12.0,7.1,35,1059.59086071,FIBRA,2029-08-01
CDB,Pós-fixado,A-,10.0,0.0,1,1130.11517232,BANCO MASTER,2029-11-01
CDB,Pós-fixado,A-,8.0,0.0,1,1096.93528596,BANCO MASTER,2029-01-01
CDB,Pós-fixado,A-,7.0,0.0,1,998.04814864,BANCO MASTER,2028-10-01
CDB,Pós-fixado,A-,8.0,0.0,1,1079.18351079,BANCO MASTER,2029-04-01
CDB,Pós-fixado,A,2.0,0.0,268,1.28351938,BMG,2025-06-01
CDB,Pós-fixado,A,3.0,125.0,376,1.24419404,BMG,2027-06-01
CDB,Inflação,brBBB,9.0,8.42,4,1533.6438118,ORIGINAL,2026-06-01
CDB,Inflação,AA-.br,3.0,8.35,17,1491.86425774,AGIBANK,2026-07-01
CDB,Inflação,AA-.br,3.0,8.29,21,1558.10772647,AGIBANK,2026-08-01
