product,indexer,ratingName,riskScore,minTax,quantityAvailable,puMinValue,bank,maturity_date
CDB,Pós-fixado,,8.0,111.0,1244,1000.0,AFINZ,2027-05-01
CDB,Pós-fixado,,8.0,108.0,900,1000.0,AFINZ,2026-05-01
CDB,Pós-fixado,brAAA,1.0,101.5,98224226,1.0,PAGBANK,2025-09-01
CDB,Pós-fixado,brAAA,1.0,101.25,85481717,1.0,PAGBANK,2025-08-01
CDB,Pós-fixado,brAAA,1.0,100.5,99554709,1.0,PAGBANK,2025-07-01
CDB,Pós-fixado,brAAA,1.0,100.0,392924,1000.0,BANCO XP,2027-05-01
CDB,Pós-fixado,brAAA,1.0,100.0,9072,1000.0,BANCO VOLKSWAGEN,2026-05-01
CDB,Pós-fixado,brAAA,1.0,100.0,99583530,1.0,PAGBANK,2025-06-01
CDB,Pós-fixado,brAAA,1.0,98.5,9995,1000.0,BANCO VOLKSWAGEN,2027-05-01
LCD,Pós-fixado,AAA,6.0,94.0,49902,997.6816896,,2029-11-01
LCA,Pós-fixado,AAA,5.0,94.0,94276,1000.0,BANCO COOPERATIVO SICOOB,2030-04-01
LCA,Pós-fixado,AAA,4.0,93.0,49850,1000.0,BANCO COOPERATIVO SICOOB,2029-04-01
LCD,Pós-fixado,brAAA,6.0,93.0,39951,10414.21761,,2030-03-01
LCD,Pós-fixado,brAAA,5.0,92.0,32679,10360.27895,,2029-03-01
LCI,Pós-fixado,brAAA,2.0,91.0,142990,1000.0,BANCO XP,2026-05-01
LCA,Pós-fixado,AAA,3.0,91.0,49971,1000.0,BANCO COOPERATIVO SICOOB,2028-04-01
LCA,Pós-fixado,AAA,2.0,90.0,49984,1000.0,BANCO COOPERATIVO SICOOB,2027-05-01
LCA,Pós-fixado,AAA,2.0,89.0,49886,1000.0,BANCO COOPERATIVO SICOOB,2026-05-01
LCA,Pós-fixado,AAA,2.0,89.0,49543,1000.0,BANCO COOPERATIVO SICOOB,2026-02-01
CDB,Pós-fixado,,11.0,113.0,19568,1000.0,DM FINANCEIRA,2028-05-01
CDB,Pós-fixado,,11.0,113.0,3845,1000.0,PERNAMBUCANAS FINANCIADOR,2028-05-01
CDB,Pós-fixado,,8.0,112.0,19567,1000.0,DM FINANCEIRA,2027-05-01
CDB,Pós-fixado,brBBB,8.0,110.0,9364,1000.0,ORIGINAL,2028-05-01
CDB,Pós-fixado,,8.0,110.0,3819,1000.0,PERNAMBUCANAS FINANCIADOR,2027-05-01
CDB,Pós-fixado,brBBB,7.0,109.0,3602,1000.0,ORIGINAL,2027-05-01
CDB,Pós-fixado,,12.0,108.0,20000,1000.0,MIDWAY,2030-05-01
CDB,Pós-fixado,,11.0,108.0,20000,1000.0,MIDWAY,2029-05-01
CDB,Pós-fixado,,11.0,108.0,19951,1000.0,MIDWAY,2028-05-01
