product,indexer,ratingName,riskScore,minTax,quantityAvailable,puMinValue,bank,maturity_date
LCA,Pré-fixado,AAA,4.0,12.5,29940,984.7041844,BANCO DLL,2027-04-01
LCA,Pré-fixado,AAA,7.0,12.4,57720,977.2202022,BANCO DLL,2028-05-01
LCA,Pré-fixado,brAAA,9.0,11.39,943891,100.7738695,BANCO BV,2029-03-01
CDB,Pós-fixado,,11.0,113.0,19735,1000.0,DM FINANCEIRA,2028-05-01
CDB,Pós-fixado,,11.0,113.0,3917,1000.0,PERNAMBUCANAS FINANCIADOR,2028-05-01
CDB,Pós-fixado,,8.0,112.0,19789,1000.0,DM FINANCEIRA,2027-05-01
CDB,Pós-fixado,,8.0,111.0,1663,1000.0,AFINZ,2027-05-01
CDB,Pós-fixado,brBBB,8.0,110.0,9655,1000.0,ORIGINAL,2028-05-01
CDB,Pós-fixado,,8.0,110.0,3959,1000.0,PERNAMBUCANAS FINANCIADOR,2027-05-01
CDB,Pós-fixado,brBBB,7.0,109.0,3730,1000.0,ORIGINAL,2027-05-01
CDB,Pós-fixado,,12.0,108.0,20000,1000.0,MIDWAY,2030-05-01
CDB,Pós-fixado,,8.0,108.0,631,1000.0,AFINZ,2026-05-01
CDB,Pós-fixado,,11.0,108.0,20000,1000.0,MIDWAY,2029-05-01
CDB,Pós-fixado,,11.0,108.0,19997,1000.0,MIDWAY,2028-05-01
CDB,Pós-fixado,brAAA,1.0,101.5,99328137,1.0,PAGBANK,2025-09-01
CDB,Pós-fixado,brAAA,1.0,101.25,99401423,1.0,PAGBANK,2025-08-01
CDB,Pós-fixado,brAAA,1.0,100.5,99870278,1.0,PAGBANK,2025-07-01
CDB,Pós-fixado,brAAA,1.0,100.0,394840,1000.0,BANCO XP,2027-05-01
CDB,Pós-fixado,brAAA,1.0,100.0,9352,1000.0,BANCO VOLKSWAGEN,2026-05-01
CDB,Pós-fixado,brAAA,1.0,100.0,99866555,1.0,PAGBANK,2025-06-01
CDB,Pós-fixado,AAA.br,3.0,99.0,5000,1000.0,BANCO RCI BRASIL,2028-05-01
CDB,Pós-fixado,brAAA,1.0,98.5,9971,1000.0,BANCO VOLKSWAGEN,2027-05-01
CDB,Pós-fixado,AAA.br,1.0,97.5,5000,1000.0,BANCO RCI BRASIL,2027-05-01
LCA,Pós-fixado,AAA,5.0,94.0,45564,1000.0,BANCO COOPERATIVO SICOOB,2030-04-01
LCA,Pós-fixado,AAA,4.0,93.0,49952,1000.0,BANCO COOPERATIVO SICOOB,2029-04-01
