product,indexer,ratingName,riskScore,minTax,quantityAvailable,puMinValue,bank,maturity_date
CDB,Pós-fixado,,11.0,116.0,19602,1000.0,DM FINANCEIRA,2029-05-01
CDB,Pós-fixado,,11.0,113.0,3854,1000.0,PERNAMBUCANAS FINANCIADOR,2028-05-01
CDB,Pós-fixado,,11.0,113.0,19794,1000.0,DM FINANCEIRA,2028-05-01
CDB,Pós-fixado,,8.0,112.0,19807,1000.0,DM FINANCEIRA,2027-05-01
CDB,Pós-fixado,,11.0,111.5,5699,1000.0,NEON FINANCEIRA,2028-05-01
CDB,Pós-fixado,,8.0,111.0,1455,1000.0,AFINZ,2027-05-01
CDB,Pós-fixado,brBBB,8.0,110.0,9858,1000.0,ORIGINAL,2028-05-01
CDB,Pós-fixado,,8.0,110.0,3929,1000.0,PERNAMBUCANAS FINANCIADOR,2027-05-01
CDB,Pós-fixado,brBBB,7.0,109.0,3876,1000.0,ORIGINAL,2027-05-01
CDB,Pós-fixado,,12.0,108.0,19980,1000.0,MIDWAY,2030-05-01
CDB,Pós-fixado,,11.0,108.0,20000,1000.0,MIDWAY,2028-05-01
CDB,Pós-fixado,,11.0,108.0,20000,1000.0,MIDWAY,2029-05-01
CDB,Pós-fixado,,8.0,108.0,205,1000.0,AFINZ,2026-05-01
CDB,Pós-fixado,brAAA,1.0,101.5,98738751,1.0,PAGBANK,2025-09-01
CDB,Pós-fixado,brAAA,1.0,101.25,99718381,1.0,PAGBANK,2025-08-01
CDB,Pós-fixado,brAAA,1.0,100.5,99604641,1.0,PAGBANK,2025-07-01
CDB,Pós-fixado,brAAA,1.0,100.0,396115,1000.0,BANCO XP,2027-05-01
CDB,Pós-fixado,brAAA,1.0,100.0,99739960,1.0,PAGBANK,2025-06-01
CDB,Pós-fixado,brAAA,1.0,100.0,9442,1000.0,BANCO VOLKSWAGEN,2026-05-01
CDB,Pós-fixado,brAAA,1.0,98.5,9990,1000.0,BANCO VOLKSWAGEN,2027-05-01
LCA,Pós-fixado,AAA,5.0,94.0,97747,1000.0,BANCO COOPERATIVO SICOOB,2030-04-01
LCD,Pós-fixado,AAA,6.0,94.0,13377,999.1846108,,2029-11-01
LCA,Pós-fixado,AAA,4.0,93.0,49955,1000.0,BANCO COOPERATIVO SICOOB,2029-04-01
LCA,Pós-fixado,brBBB,7.0,93.0,24531,1000.0,ORIGINAL,2027-05-01
LCD,Pós-fixado,brAAA,6.0,93.0,34021,10432.23997,,2030-03-01
LCA,Pós-fixado,brBBB,7.0,92.5,24679,1000.0,ORIGINAL,2026-11-01
LCA,Pós-fixado,brBBB,7.0,92.0,24319,1000.0,ORIGINAL,2026-05-01
LCI,Pós-fixado,brAAA,2.0,92.0,1000,5000000.0,CEF,2027-05-01
LCD,Pós-fixado,brAAA,5.0,92.0,32507,10377.53047,,2029-03-01
LCD,Pós-fixado,AAA,3.0,92.0,20000,1073.139889,,2027-12-01
LCI,Pós-fixado,brAAA,2.0,91.0,119697,1000.0,BANCO XP,2026-05-01
LCA,Pós-fixado,AAA,3.0,91.0,49985,1000.0,BANCO COOPERATIVO SICOOB,2028-04-01
LCI,Pós-fixado,brAAA,2.0,91.0,1000,1000000.0,CEF,2027-05-01
LCD,Pós-fixado,AAA,2.0,91.0,10000,1063.614928,,2026-12-01
LCI,Pós-fixado,brAAA,2.0,90.5,1000,500000.0,CEF,2027-05-01
LCA,Pós-fixado,AAA,2.0,90.0,50000,1000.0,BANCO COOPERATIVO SICOOB,2027-05-01
LCI,Pós-fixado,brAAA,2.0,90.0,1000,250000.0,CEF,2027-05-01
LCD,Pós-fixado,AAA,2.0,90.0,10000,1060.532036,,2026-06-01
LCA,Pós-fixado,AAA,2.0,89.0,49822,1000.0,BANCO COOPERATIVO SICOOB,2026-02-01
LCA,Pós-fixado,AAA,2.0,89.0,49910,1000.0,BANCO COOPERATIVO SICOOB,2026-05-01
CDB,Pré-fixado,A,3.0,17.5,1005,1.12455432,BMG,2026-09-01
CDB,Pré-fixado,A,3.0,16.17,83,1.29024318,BMG,2026-08-01
CDB,Inflação,A,2.0,10.1,2252,1.25139646,BMG,2025-06-01
CDB,Inflação,A,2.0,9.56,45024,1.59565334,BMG,2025-08-01
CDB,Inflação,A,2.0,8.14,3964,1.56543258,BMG,2026-10-01
CDB,Inflação,A,4.0,7.84,421,1.50468403,BMG,2027-08-01
CDB,Inflação,A,6.0,7.1,454,1.10651131,BMG,2029-04-01
CDB,Pós-fixado,AAA.br,1.0,135.0,95,1.15250159,NUBANK,2025-07-01
LCA,Pós-fixado,brAAA,2.0,96.0,17202,0.01155494,SICREDI,2025-09-01
CDB,Inflação,A-,7.0,12.85,1063,1.34065936,Banco Master,2027-01-01
CDB,Inflação,BBB+,7.0,8.24,3,1476.01329243,FIBRA,2026-09-01
CDB,Inflação,AA-.br,3.0,8.1,16,1153.73624024,AGIBANK,2026-11-01
CDB,Inflação,brAAA,3.0,8.1,2,1473.93708719,BANCO PAN,2026-12-01
CDB,Inflação,BBB+,8.0,8.1,23,1072.74109016,FIBRA,2026-12-01
CDB,Inflação,A,4.0,7.6,4286,1.47049205,BMG,2027-12-01
CDB,Inflação,A,4.0,7.6,100,1.14492788,BMG,2028-01-01
CDB,Inflação,,11.0,7.32,19,1274.12081477,SOCINAL CRED FINANC E,2028-08-01
CDB,Inflação,BBB+,10.0,7.26,10,1433.13050822,FIBRA,2028-08-01
CDB,Inflação,A.br,,7.25,1,1050.53291464,BS2,2029-01-01
CDB,Inflação,BBB+,11.0,7.1,5,1316.49269167,FIBRA,2029-04-01
CDB,Inflação,BBB+,11.0,7.1,8,1134.03592032,FIBRA,2028-12-01
CDB,Inflação,BBB+,11.0,7.1,2,1320.54085053,FIBRA,2028-11-01
CDB,Inflação,BBB+,11.0,7.1,7,1370.02472195,FIBRA,2029-04-01
CDB,Inflação,A,6.0,7.1,296,1.3276168,BMG,2028-12-01
CDB,Inflação,BBB+,11.0,7.1,67,1319.47344023,FIBRA,2029-03-01
CDB,Inflação,BBB+,11.0,7.1,43,1347.10698783,FIBRA,2029-04-01
CDB,Inflação,BBB+,12.0,6.98,4,1098.44998325,FIBRA,2029-07-01
CDB,Inflação,BBB+,12.0,6.95,5,1077.80436433,FIBRA,2029-10-01
CDB,Pós-fixado,brAAA,1.0,135.0,2044,1.0139481,PAGBANK,2025-06-01
CDB,Pós-fixado,A,2.0,130.65,2202,1.27617547,BMG,2025-10-01
CDB,Pré-fixado,A-,25.0,18.5,11205,0.90319264,Banco Master,2031-05-01
CDB,Pré-fixado,A,4.0,15.63,5352,1.42909908,BMG,2027-03-01
CDB,Inflação,AA-.br,2.0,8.29,9,1542.00217613,AGIBANK,2026-08-01
CDB,Inflação,BBB+,7.0,8.23,3,1470.08063256,FIBRA,2026-09-01
CDB,Inflação,BBB+,7.0,8.12,6,1572.63287513,FIBRA,2026-10-01
CDB,Inflação,BBB+,8.0,8.1,7,1322.22388352,FIBRA,2026-11-01
CDB,Inflação,BBB+,8.0,8.1,65,1087.56402769,FIBRA,2026-12-01
CDB,Inflação,brBBB,8.0,8.1,26,1387.15286438,ORIGINAL,2027-02-01
CDB,Inflação,AA-.br,4.0,7.78,1,1536.45135904,AGIBANK,2027-08-01
CDB,Inflação,A,4.0,7.6,3643,1.56401697,BMG,2027-11-01
CDB,Inflação,BBB+,9.0,7.6,5,1160.92592812,FIBRA,2027-11-01
CDB,Inflação,BBB+,10.0,7.51,1,1109.68359629,FIBRA,2028-06-01
CDB,Inflação,BBB+,10.0,7.44,1,1102.19110625,FIBRA,2028-07-01
CDB,Inflação,A,5.0,7.43,19550,1.38999056,BMG,2028-07-01
CDB,Inflação,A,5.0,7.38,6196,1.37427277,BMG,2028-07-01
CDB,Inflação,A,5.0,7.35,1,1068.10208781,BANCO C6 CONSIGNADO,2028-08-01
CDB,Inflação,,11.0,7.33,1,1152.37775897,SOCINAL CRED FINANC E,2028-08-01
CDB,Inflação,brAAA,6.0,7.25,2,103.80342079,BANCO BV,2029-03-01
CDB,Inflação,A,7.0,7.2,12340,1.1277094,BMG,2029-05-01
CDB,Inflação,BBB+,11.0,7.1,28,1293.21881439,FIBRA,2029-02-01
CDB,Inflação,BBB+,12.0,6.86,1,1182.83535912,FIBRA,2029-10-01
CDB,Pós-fixado,AAA.br,1.0,134.18,434,1.07744675,NUBANK,2025-08-01
CDB,Inflação,A,2.0,10.1,557,1.48240039,BMG,2025-07-01
CDB,Inflação,A,2.0,8.28,448,1.06526226,BMG,2026-08-01
CDB,Inflação,A,2.0,8.28,1,1048.42940169,BANCO C6 CONSIGNADO,2026-08-01
CDB,Inflação,BBB+,7.0,8.27,19,1061.34894677,FIBRA,2026-08-01
CDB,Inflação,brA,3.0,8.25,13,1060.40375685,PINE,2026-12-01
CDB,Inflação,BBB+,7.0,8.25,1,1468.89993136,FIBRA,2026-08-01
CDB,Inflação,BBB+,7.0,8.24,4,1466.24763988,FIBRA,2026-09-01
CDB,Inflação,A,2.0,8.21,447,1.60853616,BMG,2026-09-01
CDB,Inflação,BBB+,7.0,8.19,5,1112.6581526,FIBRA,2026-09-01
CDB,Inflação,brA,2.0,8.19,143,1453.36868006,PINE,2026-09-01
CDB,Inflação,brA,2.0,8.16,17,1688.46545155,PINE,2026-10-01
CDB,Inflação,brA,2.0,8.14,35,1635.06954656,PINE,2026-10-01
CDB,Inflação,brAAA,2.0,8.14,3,1596.31662664,BANCO PAN,2026-10-01
CDB,Inflação,AA-.br,3.0,8.1,1,1135.5648087,AGIBANK,2026-12-01
CDB,Inflação,BBB+,8.0,8.1,6,1504.50314049,FIBRA,2027-03-01
CDB,Inflação,BBB+,8.0,8.1,11,1336.17091289,FIBRA,2026-11-01
CDB,Inflação,BBB+,8.0,8.1,3,1494.24706938,FIBRA,2027-04-01
CDB,Inflação,brBBB,8.0,8.1,7,1400.49727035,ORIGINAL,2027-02-01
CDB,Inflação,BBB+,7.0,8.1,5,1198.45718283,FIBRA,2026-11-01
CDB,Inflação,brAAA,3.0,8.1,1,1478.42004307,BANCO PAN,2027-02-01
CDB,Inflação,brAAA,3.0,8.1,52,1435.17652617,BANCO PAN,2026-11-01
CDB,Inflação,BBB+,8.0,8.1,37,1493.46943079,FIBRA,2027-03-01
CDB,Inflação,BBB+,8.0,8.1,1,1309.36675446,FIBRA,2027-01-01
CDB,Inflação,BBB+,8.0,8.1,153,1447.80742326,FIBRA,2027-03-01
CDB,Inflação,BBB+,8.0,8.1,21,1115.37545836,FIBRA,2027-04-01
CDB,Inflação,BBB+,8.0,8.1,25,1246.87528136,FIBRA,2027-03-01
CDB,Inflação,BBB+,8.0,8.1,91,1475.41513926,FIBRA,2027-03-01
CDB,Inflação,AA-.br,3.0,8.1,4,1134.07985013,AGIBANK,2027-03-01
CDB,Inflação,brAAA,3.0,8.1,11,1496.82427621,BANCO PAN,2026-12-01
CDB,Inflação,brA,3.0,8.1,3,1448.19784823,PINE,2027-04-01
CDB,Inflação,AA-.br,2.0,8.1,26,1186.63665333,AGIBANK,2026-11-01
CDB,Inflação,A,3.0,8.1,6,1098.58325196,BANCO C6 CONSIGNADO,2027-04-01
CDB,Inflação,,8.0,8.1,20,1059.00677363,FIBRA,2026-12-01
CDB,Inflação,BBB+,8.0,8.1,1,1087.0393501,FIBRA,2026-11-01
CDB,Inflação,brAAA,3.0,8.1,5,1253.99463613,BANCO PAN,2027-03-01
CDB,Inflação,BBB+,8.0,8.1,2,1510.93830751,FIBRA,2027-03-01
CDB,Inflação,BBB+,8.0,8.1,5,1508.18928602,FIBRA,2027-01-01
CDB,Inflação,AA-.br,3.0,8.1,133,1135.23687534,AGIBANK,2027-03-01
CDB,Inflação,brA,3.0,8.1,15,1680.10484846,PINE,2027-04-01
CDB,Inflação,brA,2.0,8.1,10,1323.06761434,PINE,2026-11-01
CDB,Inflação,brAAA,3.0,8.1,21,1493.83762058,BANCO PAN,2026-12-01
CDB,Inflação,brA,3.0,8.1,1,1132.77852491,PINE,2027-03-01
CDB,Inflação,brA,3.0,8.1,20,1651.63204884,PINE,2027-01-01
CDB,Inflação,brAAA,3.0,8.1,4,1553.16499551,BANCO PAN,2027-03-01
CDB,Inflação,brA,3.0,8.1,2,1117.11652639,PINE,2027-03-01
CDB,Inflação,brAAA,3.0,8.1,1,1479.4984222,BANCO PAN,2027-01-01
CDB,Inflação,AA-.br,3.0,8.1,10,1045.2616125,AGIBANK,2027-01-01
CDB,Inflação,A,3.0,8.1,5903,1.67532374,BMG,2027-04-01
CDB,Inflação,A,3.0,8.1,1,1343.26545304,BANCO C6 CONSIGNADO,2027-01-01
CDB,Inflação,brAAA,3.0,8.1,21,1468.64202818,BANCO PAN,2027-02-01
CDB,Inflação,brA,3.0,8.1,2,1620.79373847,PINE,2027-04-01
CDB,Inflação,brAAA,3.0,8.1,3,1482.36690478,BANCO PAN,2026-12-01
CDB,Inflação,BBB+,8.0,8.1,2,1515.42619421,FIBRA,2027-03-01
CDB,Inflação,brA,2.0,8.1,7,1626.71061872,PINE,2026-11-01
CDB,Inflação,AA-.br,4.0,7.83,62,1521.87394118,AGIBANK,2027-08-01
CDB,Inflação,AA-.br,4.0,7.81,1,1529.32029998,AGIBANK,2027-08-01
CDB,Inflação,AA-.br,4.0,7.79,4,1569.20260584,AGIBANK,2027-08-01
CDB,Inflação,AA-.br,4.0,7.79,14,1556.87412653,AGIBANK,2027-08-01
CDB,Inflação,AA-.br,4.0,7.78,19,1549.98616073,AGIBANK,2027-08-01
CDB,Inflação,AA-.br,4.0,7.78,2,1546.42900445,AGIBANK,2027-08-01
CDB,Inflação,AA-.br,4.0,7.77,61,1526.94689162,AGIBANK,2027-08-01
CDB,Inflação,AA-.br,4.0,7.77,7,1527.60738121,AGIBANK,2027-08-01
CDB,Inflação,AA-.br,4.0,7.7,21,1217.58288969,AGIBANK,2027-10-01
CDB,Inflação,BBB+,9.0,7.65,1,1060.41305755,FIBRA,2027-10-01
CDB,Inflação,BBB+,9.0,7.63,94,1098.76846773,FIBRA,2027-10-01
CDB,Inflação,AA+,4.0,7.63,1,1429.24275319,BANCO RODOBENS,2027-10-01
CDB,Inflação,AA-.br,4.0,7.63,66,1215.00770642,AGIBANK,2027-10-01
CDB,Inflação,A,4.0,7.63,2335,1.12560703,BMG,2027-10-01
CDB,Inflação,BBB+,9.0,7.62,7,1434.46285962,FIBRA,2027-10-01
CDB,Inflação,A,4.0,7.61,18158,1.11618748,BMG,2027-10-01
CDB,Inflação,BBB+,9.0,7.6,40,1092.38519312,FIBRA,2027-11-01
CDB,Inflação,AA-.br,4.0,7.6,10,1200.48831964,AGIBANK,2027-11-01
CDB,Inflação,A,4.0,7.6,107,1.11404232,BMG,2027-11-01
CDB,Inflação,AA-.br,4.0,7.6,3,1155.00793209,AGIBANK,2027-12-01
CDB,Inflação,AA-.br,4.0,7.6,4,1201.1797704,AGIBANK,2027-11-01
CDB,Inflação,AA-.br,4.0,7.6,2,1152.25501899,AGIBANK,2027-12-01
CDB,Inflação,A,4.0,7.6,1127,1.57502217,BMG,2027-11-01
CDB,Inflação,A,4.0,7.6,192928,1.42073065,BMG,2028-02-01
CDB,Inflação,A,4.0,7.6,4349,1.44130041,BMG,2027-12-01
CDB,Inflação,A,4.0,7.6,439,1.42031773,BMG,2028-02-01
CDB,Inflação,BBB+,9.0,7.6,43,1114.10731428,FIBRA,2028-05-01
CDB,Inflação,AA-.br,4.0,7.6,2,1157.1841554,AGIBANK,2027-12-01
CDB,Inflação,A,4.0,7.6,11471,1.11495315,BMG,2027-11-01
CDB,Inflação,A,4.0,7.6,279,1.12452962,BMG,2028-02-01
CDB,Inflação,A,4.0,7.6,490,1.08327447,BMG,2027-12-01
CDB,Inflação,AA-.br,4.0,7.6,2,1137.40547559,AGIBANK,2028-03-01
CDB,Inflação,brA,4.0,7.6,1,1430.49633972,PINE,2028-03-01
CDB,Inflação,A,4.0,7.6,104765,1.57956455,BMG,2027-11-01
CDB,Inflação,A,4.0,7.6,38863,1.09267737,BMG,2027-12-01
CDB,Inflação,A,4.0,7.6,495,1.06559201,BMG,2027-11-01
CDB,Inflação,brA,4.0,7.6,1,1310.29135196,PINE,2027-11-01
CDB,Inflação,A,4.0,7.6,3513,1.47431178,BMG,2028-02-01
CDB,Inflação,brA,4.0,7.6,70,1125.19461269,PINE,2028-03-01
CDB,Inflação,A,4.0,7.6,2349,1.47901221,BMG,2027-12-01
CDB,Inflação,A,4.0,7.6,3754,1.54075009,BMG,2027-12-01
CDB,Inflação,BBB+,10.0,7.53,7,1092.75617081,FIBRA,2028-06-01
CDB,Inflação,BBB+,10.0,7.5,9,1114.32815971,FIBRA,2028-06-01
CDB,Inflação,brA,5.0,7.48,11,1093.61868239,PINE,2028-06-01
CDB,Inflação,BBB+,10.0,7.46,66,1092.85898851,FIBRA,2028-06-01
CDB,Inflação,BBB+,10.0,7.44,4,1110.39401701,FIBRA,2028-07-01
CDB,Inflação,brA,5.0,7.42,5,1394.92772714,PINE,2028-07-01
CDB,Inflação,BBB+,10.0,7.41,6,1440.95435208,FIBRA,2028-07-01
CDB,Inflação,brA,5.0,7.37,4,1091.40873845,PINE,2028-07-01
CDB,Inflação,brAAA,5.0,7.31,2,1202.05975439,BANCO PAN,2028-08-01
CDB,Inflação,BBB+,10.0,7.31,19,1134.93032978,FIBRA,2028-08-01
CDB,Inflação,A,5.0,7.3,4,1068.28373402,BANCO C6 CONSIGNADO,2028-08-01
CDB,Inflação,BBB+,10.0,7.29,3,1063.01672666,FIBRA,2028-08-01
CDB,Inflação,brAAA,5.0,7.28,3,1214.37148238,BANCO PAN,2028-08-01
CDB,Inflação,BBB+,10.0,7.26,9,1079.6635481,FIBRA,2028-08-01
CDB,Inflação,BBB+,10.0,7.26,14,1431.92383485,FIBRA,2028-08-01
CDB,Inflação,brAAA,5.0,7.26,12,1213.88069019,BANCO PAN,2028-08-01
CDB,Inflação,BBB+,10.0,7.24,3,1081.00856391,FIBRA,2028-09-01
CDB,Inflação,brA,5.0,7.24,2,1459.64400492,PINE,2028-09-01
CDB,Inflação,brA,5.0,7.23,1,1459.20688279,PINE,2028-09-01
CDB,Inflação,brA,5.0,7.21,2,1407.83151921,PINE,2028-09-01
CDB,Inflação,A,7.0,7.2,3,1068.43572075,BANCO C6 CONSIGNADO,2029-05-01
CDB,Inflação,A,7.0,7.2,8,1073.9510557,BANCO C6 CONSIGNADO,2029-05-01
CDB,Inflação,BBB+,11.0,7.15,22,1350.32401209,FIBRA,2028-11-01
CDB,Inflação,BBB+,10.0,7.13,25,1325.38786918,FIBRA,2028-10-01
CDB,Inflação,AA+,5.0,7.12,2,1436.74546015,BANCO RODOBENS,2028-10-01
CDB,Inflação,BBB+,11.0,7.1,9,1322.99650163,FIBRA,2029-04-01
CDB,Inflação,BBB+,11.0,7.1,1,1137.70251327,FIBRA,2028-12-01
CDB,Inflação,A,6.0,7.1,2636,1.32648721,BMG,2028-12-01
CDB,Inflação,brA,6.0,7.1,5,1369.56414347,PINE,2028-11-01
CDB,Inflação,brA,6.0,7.1,39,1128.35670496,PINE,2029-04-01
CDB,Inflação,BBB+,12.0,6.99,5,1092.50061671,FIBRA,2029-07-01
CDB,Inflação,BBB+,12.0,6.97,3,1098.06404413,FIBRA,2029-08-01
CDB,Inflação,BBB+,12.0,6.94,35,1069.80499914,FIBRA,2029-08-01
CDB,Inflação,BBB+,12.0,6.91,6,1087.35163229,FIBRA,2029-09-01
CDB,Inflação,BBB+,16.0,6.6,43,1065.96939917,FIBRA,2032-08-01
CDB,Inflação,BBB+,15.0,6.6,2,1168.97029701,BANCO FIBRA,2031-09-01
CDB,Pós-fixado,AAA.br,1.0,130.0,231,1.00657045,NUBANK,2026-02-01
CDB,Inflação,BBB+,7.0,8.66,3,1119.84073571,FIBRA,2026-04-01
CDB,Inflação,A,2.0,8.28,3,1056.47246537,BANCO C6 CONSIGNADO,2026-08-01
CDB,Inflação,A,2.0,8.28,49930,1.65726306,BMG,2026-08-01
CDB,Inflação,A,2.0,8.28,3,1060.84137823,BANCO C6 CONSIGNADO,2026-08-01
CDB,Inflação,A,2.0,8.28,3,1051.88925671,BANCO C6 CONSIGNADO,2026-08-01
CDB,Inflação,A,2.0,8.26,53,1254.31991679,BANCO C6 CONSIGNADO,2026-08-01
CDB,Inflação,BBB+,7.0,8.25,20,1482.83146417,FIBRA,2026-08-01
CDB,Inflação,BBB+,7.0,8.2,10,1114.99160518,FIBRA,2026-09-01
CDB,Inflação,brA,2.0,8.17,7,1685.30401959,PINE,2026-10-01
CDB,Inflação,brA,2.0,8.15,100,1652.03706472,PINE,2026-10-01
CDB,Inflação,BBB+,7.0,8.14,2,1057.99132778,FIBRA,2026-10-01
CDB,Inflação,BBB+,7.0,8.14,20,1105.93399177,FIBRA,2026-10-01
CDB,Inflação,brAAA,2.0,8.13,1,1599.48184307,BANCO PAN,2026-10-01
CDB,Inflação,brA,2.0,8.11,18,1455.39390923,PINE,2026-11-01
CDB,Inflação,AA-.br,2.0,8.11,2,1201.88176572,AGIBANK,2026-11-01
CDB,Inflação,BBB+,8.0,8.1,10,1449.75272298,FIBRA,2027-03-01
CDB,Inflação,brAAA,3.0,8.1,10,1543.75352634,BANCO PAN,2027-03-01
CDB,Inflação,brAAA,3.0,8.1,13,1401.58373987,BANCO PAN,2027-01-01
CDB,Inflação,AA-.br,2.0,8.1,1,1193.26992349,AGIBANK,2026-11-01
CDB,Inflação,brAAA,3.0,8.1,17,1252.99284097,BANCO PAN,2027-04-01
CDB,Inflação,BBB+,8.0,8.1,2,1471.69150083,FIBRA,2027-03-01
CDB,Inflação,AA-.br,2.0,8.1,3,1197.8971549,AGIBANK,2026-11-01
