product,indexer,ratingName,riskScore,minTax,quantityAvailable,puMinValue,bank,maturity_date
LCA,Pré-fixado,AAA,6.0,12.75,37592,999.40551,BANCO DLL,2027-04-01
LCA,Pré-fixado,brAAA,12.0,11.49,1002587,100.2725787,BANCO BV,2029-03-01
CDB,Pós-fixado,,9.0,111.0,1624,1000.0,AFINZ,2027-04-01
CDB,Pós-fixado,,9.0,108.0,698,1000.0,AFINZ,2026-04-01
CDB,Pós-fixado,brAAA,1.0,101.5,98803678,1.0,PAGBANK,2025-08-01
CDB,Pós-fixado,brAAA,1.0,101.25,99634983,1.0,PAGBANK,2025-07-01
CDB,Pós-fixado,A,2.0,101.0,98527712,1.0,BMG,2026-01-01
CDB,Pós-fixado,brAAA,1.0,100.5,99813317,1.0,PAGBANK,2025-06-01
CDB,Pós-fixado,brAAA,1.0,100.0,397555,1000.0,BANCO XP,2027-04-01
CDB,Pós-fixado,brAAA,1.0,100.0,9769,1000.0,BANCO VOLKSWAGEN,2026-04-01
CDB,Pós-fixado,brAAA,1.0,100.0,99738982,1.0,PAGBANK,2025-05-01
CDB,Pós-fixado,brAAA,1.0,98.5,10000,1000.0,BANCO VOLKSWAGEN,2027-04-01
LCD,Pós-fixado,brAAA,6.0,93.0,9055,10383.89873,,2030-03-01
LCD,Pós-fixado,brAAA,6.0,93.0,3549,10383.89873,,2030-03-01
LCD,Pós-fixado,brAAA,5.0,92.0,33483,10328.36288,,2029-03-01
LCI,Pós-fixado,brAAA,2.0,91.0,298633,1000.0,BANCO XP,2026-04-01
CDB,Pós-fixado,A-,5.0,124.0,15932645,0.99394627,BANCO MASTER,2026-02-01
CDB,Pós-fixado,A-,15.0,117.0,99992,1000.0,BANCO MASTER,2033-05-01
CDB,Pós-fixado,A-,11.0,116.0,99988,1000.0,BANCO MASTER,2031-04-01
CDB,Pós-fixado,A-,10.0,115.0,99999,1000.0,BANCO MASTER,2030-04-01
CDB,Pós-fixado,A-,8.0,114.0,100000,1000.0,BANCO MASTER,2029-04-01
CDB,Pós-fixado,,11.0,113.5,19942,1000.0,DM FINANCEIRA,2028-04-01
CDB,Pós-fixado,,11.0,113.0,9833,1000.0,PERNAMBUCANAS FINANCIADOR,2029-04-01
CDB,Pós-fixado,,11.0,113.0,3874,1000.0,PERNAMBUCANAS FINANCIADOR,2028-04-01
CDB,Pós-fixado,A-,5.0,112.0,99931,1000.0,BANCO MASTER,2027-04-01
CDB,Pós-fixado,,9.0,112.0,19740,1000.0,DM FINANCEIRA,2027-04-01
CDB,Pós-fixado,brBBB,11.0,110.0,9642,1000.0,ORIGINAL,2028-04-01
CDB,Pós-fixado,BBB-.br,12.0,110.0,4888,1000.0,BANCO DIGIMAIS,2030-04-01
CDB,Pós-fixado,,9.0,110.0,3964,1000.0,PERNAMBUCANAS FINANCIADOR,2027-04-01
CDB,Pós-fixado,brBBB,9.0,109.0,3910,1000.0,ORIGINAL,2027-04-01
CDB,Pós-fixado,BBB-.br,11.0,108.5,2983,1000.0,BANCO DIGIMAIS,2029-04-01
CDB,Pós-fixado,,12.0,108.0,20000,1000.0,MIDWAY,2030-04-01
CDB,Pós-fixado,,11.0,108.0,20000,1000.0,MIDWAY,2029-04-01
CDB,Pós-fixado,,11.0,108.0,20000,1000.0,MIDWAY,2028-04-01
LCA,Pós-fixado,brBBB,9.0,93.0,24485,1000.0,ORIGINAL,2027-04-01
LCA,Pós-fixado,brBBB,9.0,92.5,24625,1000.0,ORIGINAL,2026-10-01
LCA,Pós-fixado,brBBB,9.0,92.0,23125,1000.0,ORIGINAL,2026-04-01
CDB,Pré-fixado,A,2.0,18.0,12043,1.2222176,BMG,2025-07-01
CDB,Pré-fixado,A,2.0,17.18,165,1.41778527,BMG,2025-09-01
CDB,Pré-fixado,A,2.0,16.58,2043,1.08470083,BMG,2026-03-01
CDB,Pré-fixado,A,8.0,15.5,1170,1.16930356,BMG,2027-07-01
CDB,Pré-fixado,A,8.0,15.5,1003,1.06163346,BMG,2027-09-01
CDB,Inflação,A,5.0,7.6,426,1.10851076,BMG,2027-10-01
CDB,Inflação,A,5.0,7.6,216,1.12114849,BMG,2027-10-01
CDB,Pós-fixado,AAA.br,1.0,136.2,187,1.19844282,NUBANK,2025-09-01
CDB,Pós-fixado,A,3.0,125.0,1719,1.64467313,BMG,2027-05-01
CDB,Inflação,BBB+,12.0,7.1,4,1088.00253755,FIBRA,2029-07-01
CDB,Pré-fixado,A,6.0,15.88,837,1.01940341,BMG,2026-11-01
CDB,Pré-fixado,A,6.0,15.53,161,1.2372633,BMG,2027-04-01
CDB,Inflação,brAAA,4.0,8.1,3,1466.38888138,BANCO PAN,2026-12-01
CDB,Inflação,A,6.0,7.6,254,1.56490018,BMG,2027-11-01
CDB,Inflação,A,9.0,7.1,6148,1.32116487,BMG,2028-12-01
