product,indexer,ratingName,riskScore,minTax,quantityAvailable,puMinValue,bank,maturity_date
CDB,Pós-fixado,,8.0,111.0,1473,1000.0,AFINZ,2027-05-01
CDB,Pós-fixado,,8.0,108.0,288,1000.0,AFINZ,2026-05-01
CDB,Pós-fixado,brAAA,1.0,101.5,98868839,1.0,PAGBANK,2025-09-01
CDB,Pós-fixado,brAAA,1.0,101.25,99358830,1.0,PAGBANK,2025-08-01
CDB,Pós-fixado,brAAA,1.0,100.5,99665822,1.0,PAGBANK,2025-07-01
CDB,Pós-fixado,brAAA,1.0,100.0,390697,1000.0,BANCO XP,2027-05-01
CDB,Pós-fixado,brAAA,1.0,100.0,9538,1000.0,BANCO VOLKSWAGEN,2026-05-01
CDB,Pós-fixado,brAAA,1.0,100.0,99688556,1.0,PAGBANK,2025-06-01
CDB,Pós-fixado,AAA.br,3.0,99.0,5000,1000.0,BANCO RCI BRASIL,2028-05-01
CDB,Pós-fixado,brAAA,1.0,98.5,9969,1000.0,BANCO VOLKSWAGEN,2027-05-01
CDB,Pós-fixado,AAA.br,1.0,97.5,5000,1000.0,BANCO RCI BRASIL,2027-05-01
LCA,Pós-fixado,AAA,5.0,94.0,40190,1000.0,BANCO COOPERATIVO SICOOB,2030-04-01
LCA,Pós-fixado,AAA,4.0,93.0,49963,1000.0,BANCO COOPERATIVO SICOOB,2029-04-01
LCI,Pós-fixado,brAAA,2.0,91.0,143554,1000.0,BANCO XP,2026-05-01
LCA,Pós-fixado,AAA,3.0,91.0,49940,1000.0,BANCO COOPERATIVO SICOOB,2028-04-01
LCA,Pós-fixado,AAA,2.0,90.0,49995,1000.0,BANCO COOPERATIVO SICOOB,2027-04-01
LCA,Pós-fixado,AAA,2.0,89.0,49965,1000.0,BANCO COOPERATIVO SICOOB,2026-05-01
LCA,Pós-fixado,AAA,2.0,89.0,49849,1000.0,BANCO COOPERATIVO SICOOB,2026-02-01
CDB,Pós-fixado,,11.0,113.0,19497,1000.0,DM FINANCEIRA,2028-05-01
CDB,Pós-fixado,,11.0,113.0,3851,1000.0,PERNAMBUCANAS FINANCIADOR,2028-05-01
CDB,Pós-fixado,,8.0,112.0,19452,1000.0,DM FINANCEIRA,2027-05-01
CDB,Pós-fixado,brBBB,8.0,110.0,9348,1000.0,ORIGINAL,2028-05-01
CDB,Pós-fixado,,8.0,110.0,3965,1000.0,PERNAMBUCANAS FINANCIADOR,2027-05-01
CDB,Pós-fixado,brBBB,7.0,109.0,3733,1000.0,ORIGINAL,2027-05-01
CDB,Pós-fixado,,12.0,108.0,20000,1000.0,MIDWAY,2030-05-01
CDB,Pós-fixado,,11.0,108.0,20000,1000.0,MIDWAY,2029-05-01
CDB,Pós-fixado,,11.0,108.0,19995,1000.0,MIDWAY,2028-05-01
LCA,Pós-fixado,brBBB,7.0,93.0,24741,1000.0,ORIGINAL,2027-05-01
LCA,Pós-fixado,brBBB,7.0,92.5,24345,1000.0,ORIGINAL,2026-10-01
LCA,Pós-fixado,brBBB,7.0,92.0,23917,1000.0,ORIGINAL,2026-05-01
CDB,Inflação,A,4.0,9.1,1012,1.36256818,BMG,2028-02-01
CDB,Inflação,A,4.0,7.6,8612,1.46732452,BMG,2027-12-01
CDB,Inflação,A,4.0,7.6,100,1.14250736,BMG,2028-01-01
CDB,Inflação,A,6.0,7.1,4121,1.32518271,BMG,2028-12-01
CDB,Inflação,A,6.0,7.1,478,1.10440409,BMG,2029-04-01
CDB,Pós-fixado,A,2.0,135.35,2008,1.26757307,BMG,2025-10-01
CDB,Pré-fixado,A-,12.0,19.0,122,1.38774188,BANCO MASTER,2028-01-01
CDB,Inflação,BBB+,10.0,7.33,1,1087.36923921,FIBRA,2028-07-01
CDB,Inflação,BBB+,11.0,7.1,74,1316.9068351,FIBRA,2029-03-01
CDB,Inflação,BBB+,12.0,7.1,4,1091.18479425,FIBRA,2029-07-01
CDB,Inflação,BBB+,11.0,7.1,7,1367.33239687,FIBRA,2029-04-01
CDB,Pré-fixado,AAA.br,2.0,17.36,451,1.05452624,NUBANK,2025-09-01
CDB,Inflação,A,2.0,9.98,2005,1.48024939,BMG,2025-07-01
CDB,Inflação,brAAA,3.0,8.1,8,1470.91315963,BANCO PAN,2026-12-01
CDB,Inflação,A,5.0,7.36,6233,1.37229508,BMG,2028-07-01
CDB,Pré-fixado,A-,14.0,19.0,90,1.42393586,BANCO MASTER,2028-06-01
CDB,Pré-fixado,A-,14.0,19.0,201,1.4311323,BANCO MASTER,2028-06-01
