product,indexer,ratingName,riskScore,minTax,quantityAvailable,puMinValue,bank,maturity_date
LCA,Pré-fixado,AAA,6.0,12.75,51981,998.9297048,BANCO DLL,2027-04-01
LCA,Pré-fixado,brAAA,12.0,11.55,1010807,100.0582303,BANCO BV,2029-03-01
CDB,Pós-fixado,A-,15.0,117.0,99978,1000.0,BANCO MASTER,2033-05-01
CDB,Pós-fixado,A-,11.0,116.0,99985,1000.0,BANCO MASTER,2031-04-01
CDB,Pós-fixado,A-,10.0,115.0,99994,1000.0,BANCO MASTER,2030-04-01
CDB,Pós-fixado,A-,8.0,114.0,99997,1000.0,BANCO MASTER,2029-04-01
CDB,Pós-fixado,,11.0,113.5,19885,1000.0,DM FINANCEIRA,2028-04-01
CDB,Pós-fixado,,11.0,113.0,9998,1000.0,PERNAMBUCANAS FINANCIADOR,2029-04-01
CDB,Pós-fixado,,11.0,113.0,3972,1000.0,PERNAMBUCANAS FINANCIADOR,2028-04-01
CDB,Pós-fixado,A-,5.0,112.0,99835,1000.0,BANCO MASTER,2027-04-01
CDB,Pós-fixado,,9.0,112.0,19562,1000.0,DM FINANCEIRA,2027-04-01
CDB,Pós-fixado,,9.0,111.0,1599,1000.0,AFINZ,2027-04-01
CDB,Pós-fixado,brBBB,11.0,110.0,2923,1000.0,ORIGINAL,2028-04-01
CDB,Pós-fixado,BBB-.br,12.0,110.0,4817,1000.0,BANCO DIGIMAIS,2030-04-01
CDB,Pós-fixado,,9.0,110.0,3973,1000.0,PERNAMBUCANAS FINANCIADOR,2027-04-01
CDB,Pós-fixado,brBBB,9.0,109.0,3840,1000.0,ORIGINAL,2027-04-01
CDB,Pós-fixado,BBB-.br,11.0,108.5,2976,1000.0,BANCO DIGIMAIS,2029-04-01
CDB,Pós-fixado,,12.0,108.0,19997,1000.0,MIDWAY,2030-04-01
CDB,Pós-fixado,,9.0,108.0,884,1000.0,AFINZ,2026-04-01
CDB,Pós-fixado,,11.0,108.0,19998,1000.0,MIDWAY,2029-04-01
CDB,Pós-fixado,,11.0,108.0,20000,1000.0,MIDWAY,2028-04-01
CDB,Pós-fixado,brAAA,1.0,101.5,98853569,1.0,PAGBANK,2025-08-01
CDB,Pós-fixado,brAAA,1.0,101.25,99295231,1.0,PAGBANK,2025-07-01
CDB,Pós-fixado,brAAA,1.0,100.5,99826140,1.0,PAGBANK,2025-06-01
CDB,Pós-fixado,brAAA,1.0,100.0,391723,1000.0,BANCO XP,2027-04-01
CDB,Pós-fixado,brAAA,1.0,100.0,9774,1000.0,BANCO VOLKSWAGEN,2026-04-01
CDB,Pós-fixado,brAAA,1.0,100.0,99830563,1.0,PAGBANK,2025-05-01
CDB,Pós-fixado,brAAA,1.0,98.5,10000,1000.0,BANCO VOLKSWAGEN,2027-04-01
LCA,Pós-fixado,AAA,5.0,93.0,19745,1000.0,BANCO COOPERATIVO SICOOB,2029-04-01
LCA,Pós-fixado,brBBB,9.0,93.0,24302,1000.0,ORIGINAL,2027-04-01
LCD,Pós-fixado,brAAA,6.0,93.0,13176,10378.84391,,2030-03-01
LCA,Pós-fixado,brBBB,9.0,92.5,24504,1000.0,ORIGINAL,2026-10-01
LCA,Pós-fixado,brBBB,9.0,92.0,24045,1000.0,ORIGINAL,2026-04-01
LCD,Pós-fixado,brAAA,5.0,92.0,33655,10323.45516,,2029-03-01
LCI,Pós-fixado,brAAA,2.0,91.0,298079,1000.0,BANCO XP,2026-04-01
LCA,Pós-fixado,AAA,3.0,91.0,19930,1000.0,BANCO COOPERATIVO SICOOB,2028-04-01
LCA,Pós-fixado,AAA,2.0,90.0,19990,1000.0,BANCO COOPERATIVO SICOOB,2027-04-01
LCA,Pós-fixado,AAA,2.0,89.0,19915,1000.0,BANCO COOPERATIVO SICOOB,2026-04-01
CDB,Pré-fixado,A-,25.0,18.0,2009,1.26424583,BANCO MASTER,2031-06-01
