product,indexer,ratingName,riskScore,minTax,quantityAvailable,puMinValue,bank,maturity_date
CDB,Pós-fixado,,11.0,111.5,5722,1000.0,NEON FINANCEIRA,2028-05-01
CDB,Pós-fixado,,8.0,111.0,1667,1000.0,AFINZ,2027-05-01
CDB,Pós-fixado,,8.0,108.0,556,1000.0,AFINZ,2026-05-01
CDB,Pós-fixado,brAAA,1.0,101.5,99260470,1.0,PAGBANK,2025-09-01
CDB,Pós-fixado,brAAA,1.0,101.25,99669212,1.0,PAGBANK,2025-08-01
CDB,Pós-fixado,brAAA,1.0,100.5,99827054,1.0,PAGBANK,2025-07-01
CDB,Pós-fixado,brAAA,1.0,100.0,396744,1000.0,BANCO XP,2027-05-01
CDB,Pós-fixado,brAAA,1.0,100.0,99895173,1.0,PAGBANK,2025-06-01
LCA,Pós-fixado,AAA,5.0,94.0,88590,1000.0,BANCO COOPERATIVO SICOOB,2030-04-01
LCD,Pós-fixado,AAA,6.0,94.0,23435,999.9994527,,2029-05-01
LCA,Pós-fixado,AAA,4.0,93.0,49907,1000.0,BANCO COOPERATIVO SICOOB,2029-05-01
LCD,Pós-fixado,brAAA,6.0,93.0,13767,10466.73369,,2030-03-01
LCD,Pós-fixado,AAA,3.0,92.0,9938,1076.280561,,2027-12-01
LCI,Pós-fixado,brAAA,2.0,92.0,1000,5000000.0,CEF,2027-05-01
LCD,Pós-fixado,brAAA,5.0,92.0,31776,10410.88576,,2029-03-01
LCD,Pós-fixado,AAA,2.0,91.0,9845,1066.712316,,2026-12-01
LCI,Pós-fixado,brAAA,2.0,91.0,1000,1000000.0,CEF,2027-05-01
LCA,Pós-fixado,AAA,3.0,91.0,49988,1000.0,BANCO COOPERATIVO SICOOB,2028-05-01
LCI,Pós-fixado,brAAA,2.0,90.5,999,500000.0,CEF,2027-05-01
LCD,Pós-fixado,AAA,2.0,90.0,9961,1063.602771,,2026-06-01
LCI,Pós-fixado,brAAA,2.0,90.0,999,250000.0,CEF,2027-05-01
LCA,Pós-fixado,AAA,2.0,90.0,49982,1000.0,BANCO COOPERATIVO SICOOB,2027-05-01
LCA,Pós-fixado,AAA,2.0,89.0,49828,1000.0,BANCO COOPERATIVO SICOOB,2026-05-01
LCA,Pós-fixado,AAA,2.0,89.0,49747,1000.0,BANCO COOPERATIVO SICOOB,2026-02-01
CDB,Pós-fixado,,11.0,113.0,3835,1000.0,PERNAMBUCANAS FINANCIADOR,2028-05-01
CDB,Pós-fixado,brBBB,8.0,110.0,9903,1000.0,ORIGINAL,2028-05-01
CDB,Pós-fixado,,8.0,110.0,3907,1000.0,PERNAMBUCANAS FINANCIADOR,2027-05-01
CDB,Pós-fixado,brBBB,7.0,109.0,3753,1000.0,ORIGINAL,2027-05-01
CDB,Pós-fixado,,12.0,108.0,20000,1000.0,MIDWAY,2030-05-01
CDB,Pós-fixado,,11.0,108.0,20000,1000.0,MIDWAY,2029-05-01
CDB,Pós-fixado,,11.0,108.0,20000,1000.0,MIDWAY,2028-05-01
LCI,Pós-fixado,,,89.0,5000,1000.0,POUPEX,2026-05-01
LCD,Pós-fixado,AAA,6.0,94.0,14631,1000.013034,,2029-05-01
LCD,Pós-fixado,brAAA,6.0,93.0,10083,10465.35055,,2030-03-01
LCD,Pós-fixado,AAA,2.0,90.0,9961,1063.593687,,2026-06-01
LCA,Pré-fixado,brAAA,9.0,11.5,872551,100.939285,BANCO BV,2029-03-01
LCD,Pós-fixado,AAA,3.0,92.0,9936,1076.208962,,2027-12-01
LCD,Pós-fixado,AAA,2.0,91.0,9845,1066.688892,,2026-12-01
CDB,Pré-fixado,A.br,17.0,14.82,20000,1000.0,PICPAY,2032-05-01
CDB,Pré-fixado,A,4.0,14.56,20000000,1.0,BMG,2027-05-01
LCA,Pré-fixado,brAAA,4.0,11.42,10000,100.0,BANCO BV,2027-05-01
CDB,Inflação,brAA+,3.0,7.75,15000,1000.0,DAYCOVAL,2027-05-01
CDB,Inflação,brAA+,4.0,7.51,15000,1000.0,DAYCOVAL,2027-11-01
CDB,Inflação,brAA+,6.0,7.13,15000,1000.0,DAYCOVAL,2029-05-01
LCA,Inflação,AAA,3.0,6.64,850,1000.0,BANCO BOCOM BBM,2027-05-01
LCA,Inflação,AAA,6.0,6.22,850,1000.0,BANCO BOCOM BBM,2029-05-01
CDB,Pós-fixado,A.br,3.0,109.0,10000,1000.0,PICPAY,2028-05-01
CDB,Pós-fixado,,8.0,108.5,3000,1000.0,NEON FINANCEIRA,2026-05-01
CDB,Pós-fixado,A.br,2.0,108.5,10000,1000.0,PICPAY,2027-05-01
CDB,Pós-fixado,A-,10.0,105.0,2000,1000.0,BANCO TRIANGULO,2030-05-01
CDB,Pós-fixado,A-,8.0,104.0,2000,1000.0,BANCO TRIANGULO,2029-05-01
CDB,Pós-fixado,A-,7.0,103.0,2000,1000.0,BANCO TRIANGULO,2028-05-01
CDB,Pós-fixado,A-,5.0,101.0,2000,1000.0,BANCO TRIANGULO,2026-05-01
CDB,Pós-fixado,brAAA,1.0,100.5,100000,1000.0,STONE SCFI,2027-05-01
CDB,Pós-fixado,brAAA,1.0,100.0,5000,1000.0,STONE SCFI,2025-11-01
CDB,Pós-fixado,brAAA,1.0,99.5,100000,1000.0,STONE SCFI,2026-05-01
CDB,Pós-fixado,brAAA,1.0,99.5,5000,1000.0,STONE SCFI,2025-08-01
LCA,Pós-fixado,brAAA,4.0,88.7,10000,100.0,BANCO BV,2029-05-01
CDB,Pré-fixado,BBB-.br,14.0,14.51,5000,1000.0,BANCO DIGIMAIS,2029-05-01
CDB,Inflação,,,8.7,30000,1000.0,BANCO C6,2026-08-01
CDB,Inflação,brA,3.0,8.5,10000,1000.0,PINE,2027-05-01
CDB,Inflação,BBB+,7.0,8.45,100000,1000.0,FIBRA,2026-11-01
CDB,Inflação,BBB+,8.0,7.9,100000,1000.0,FIBRA,2027-05-01
CDB,Inflação,BBB+,9.0,7.55,100000,1000.0,FIBRA,2027-11-01
CDB,Inflação,BBB+,11.0,7.5,100000,1000.0,FIBRA,2029-05-01
CDB,Inflação,BBB+,14.0,7.5,100000,1000.0,FIBRA,2031-05-01
CDB,Inflação,BBB+,16.0,7.5,100000,1000.0,FIBRA,2032-05-01
CDB,Inflação,BBB+,9.0,7.45,100000,1000.0,FIBRA,2028-05-01
CDB,Inflação,BBB+,17.0,7.45,100000,1000.0,FIBRA,2033-05-01
CDB,Pós-fixado,,8.0,111.0,1500,1000.0,BANCO SENFF,2027-05-01
CDB,Pós-fixado,BBB+.br,8.0,105.5,100,1000.0,ZEMA FINANCEIRA,2028-05-01
CDB,Pós-fixado,BBB+.br,7.0,103.5,100,1000.0,ZEMA FINANCEIRA,2027-05-01
CDB,Pré-fixado,A-,5.0,14.92,2000,1000.0,BANCO TRIANGULO,2026-05-01
CDB,Pré-fixado,AAA.br,2.0,14.81,10000,1000.0,STELLANTIS FINANCIAMENTOS,2025-11-01
CDB,Pré-fixado,AAA.br,2.0,14.79,10000,1000.0,STELLANTIS FINANCIAMENTOS,2025-09-01
CDB,Pré-fixado,AAA.br,2.0,14.75,5000,1000.0,STELLANTIS FINANCIAMENTOS,2025-08-01
CDB,Pré-fixado,AAA.br,2.0,14.7,2000,1000.0,STELLANTIS FINANCIAMENTOS,2025-07-01
CDB,Pré-fixado,AAA.br,2.0,14.61,2000,1000.0,STELLANTIS FINANCIAMENTOS,2025-06-01
CDB,Pré-fixado,A-,19.0,14.46,2000,1000.0,BANCO TRIANGULO,2030-05-01
CDB,Pré-fixado,A-,9.0,14.36,2000,1000.0,BANCO TRIANGULO,2027-05-01
CDB,Pré-fixado,A,7.0,14.35,20000000,1.0,BMG,2028-05-01
CDB,Pré-fixado,A-,16.0,14.33,2000,1000.0,BANCO TRIANGULO,2029-05-01
CDB,Pré-fixado,A-,12.0,14.22,2000,1000.0,BANCO TRIANGULO,2028-05-01
CDB,Pré-fixado,AAA.br,4.0,13.77,10000,1000.0,STELLANTIS FINANCIAMENTOS,2027-05-01
CDB,Inflação,brAA+,4.0,7.37,15000,1000.0,DAYCOVAL,2028-05-01
LCA,Inflação,AAA,4.0,6.2,850,1000.0,BANCO BOCOM BBM,2028-05-01
CDB,Pós-fixado,,8.0,110.0,2000,1000.0,NEON FINANCEIRA,2027-05-01
CDB,Pós-fixado,,8.0,109.5,2000,1000.0,NEON FINANCEIRA,2027-11-01
CDB,Pós-fixado,,8.0,102.5,3000,1000.0,NEON FINANCEIRA,2025-11-01
CDB,Pós-fixado,brAA-,5.0,102.0,5000,1000.0,MERCANTIL DO BRASIL,2030-05-01
CDB,Pós-fixado,,8.0,102.0,100000,1000.0,BRB,2027-05-01
CDB,Pós-fixado,A-,5.0,102.0,2000,1000.0,BANCO TRIANGULO,2027-05-01
CDB,Pós-fixado,brAA-,4.0,101.5,5000,1000.0,MERCANTIL DO BRASIL,2029-05-01
CDB,Pós-fixado,brAA-,3.0,101.25,5000,1000.0,MERCANTIL DO BRASIL,2028-05-01
CDB,Pós-fixado,brAA-,2.0,101.0,5000,1000.0,MERCANTIL DO BRASIL,2027-05-01
CDB,Pós-fixado,brA+,2.0,100.0,100000,1000.0,BRB,2026-05-01
CDB,Pós-fixado,brAA-,2.0,99.5,5000,1000.0,MERCANTIL DO BRASIL,2026-05-01
CDB,Pós-fixado,,8.0,97.5,100000,1000.0,GOLDMAN SACHS DO BRASIL B,2025-11-01
CDB,Pós-fixado,,8.0,97.25,100000,1000.0,GOLDMAN SACHS DO BRASIL B,2025-09-01
CDB,Pós-fixado,brAAA,1.0,97.0,100000,1000.0,GOLDMAN SACHS DO BRASIL B,2025-08-01
CDB,Pós-fixado,brAAA,1.0,97.0,100000,1000.0,GOLDMAN SACHS DO BRASIL B,2025-07-01
CDB,Pós-fixado,,8.0,97.0,100000,1000.0,GOLDMAN SACHS DO BRASIL B,2025-06-01
LCA,Pós-fixado,AAA,3.0,91.5,15000,1000.0,RABOBANK,2028-05-01
LCA,Pós-fixado,brA+,2.0,91.5,20000,1000.0,BRB,2026-05-01
LCA,Pós-fixado,AAA,2.0,90.25,15000,1000.0,RABOBANK,2027-05-01
CDB,Pré-fixado,A.br,2.0,14.95,10000,1000.0,BS2,2025-11-01
CDB,Pré-fixado,BBB-.br,17.0,14.78,5000,1000.0,BANCO DIGIMAIS,2030-05-01
CDB,Pré-fixado,A.br,2.0,14.75,10000,1000.0,BS2,2025-08-01
CDB,Inflação,A.br,3.0,7.55,10000,1000.0,BS2,2027-05-01
CDB,Inflação,BBB+,13.0,7.5,100000,1000.0,FIBRA,2030-05-01
CDB,Inflação,BBB+,10.0,7.4,100000,1000.0,FIBRA,2028-11-01
CDB,Inflação,,12.0,7.1,1000,1000.0,SOCINAL CRED FINANC E,2030-05-01
CDB,Pós-fixado,,8.0,107.0,2000,1000.0,BANCO SENFF,2026-05-01
CDB,Pós-fixado,brBBB,9.0,105.5,500,1000.0,CARUANA,2029-05-01
CDB,Pós-fixado,,11.0,105.0,20000,1000.0,VIA CERTA FINANCIADORA,2028-05-01
CDB,Pós-fixado,brBBB,8.0,105.0,500,1000.0,CARUANA,2028-11-01
CDB,Pós-fixado,brBBB,8.0,104.5,500,1000.0,CARUANA,2028-05-01
CDB,Pós-fixado,brBBB,7.0,104.0,500,1000.0,CARUANA,2027-11-01
CDB,Pós-fixado,brBBB,7.0,103.0,500,1000.0,CARUANA,2027-05-01
CDB,Pós-fixado,A.br,2.0,103.0,10000,1000.0,BS2,2027-05-01
CDB,Pós-fixado,,12.0,103.0,1000,1000.0,SOCINAL CRED FINANC E,2030-05-01
CDB,Pós-fixado,A.br,5.0,103.0,10000,1000.0,BS2,2030-05-01
CDB,Pós-fixado,A.br,3.0,103.0,10000,1000.0,BS2,2028-05-01
CDB,Pós-fixado,A.br,4.0,103.0,10000,1000.0,BS2,2029-05-01
CDB,Pós-fixado,,8.0,102.0,300000,1000.0,FACTA FINANCEIRA,2027-05-01
CDB,Pós-fixado,,8.0,102.0,500,1000.0,CALCRED,2027-05-01
CDB,Pós-fixado,AA-,2.0,102.0,5000,1000.0,BANCO RENDIMENTO,2027-05-01
CDB,Pós-fixado,,8.0,102.0,300000,1000.0,FACTA FINANCEIRA,2026-05-01
CDB,Pós-fixado,,11.0,102.0,500,1000.0,CALCRED,2028-05-01
CDB,Pós-fixado,AA-,2.0,101.0,5000,1000.0,BANCO RENDIMENTO,2026-05-01
CDB,Pré-fixado,A,2.0,14.99,20000000,1.0,BMG,2026-05-01
CDB,Pré-fixado,BBB,7.0,14.84,5000,1000.0,OMNI BANCO,2026-05-01
CDB,Pré-fixado,AA,3.0,14.65,15000,1000.0,BANCO BBC,2026-11-01
CDB,Pré-fixado,AA,2.0,14.65,15000,1000.0,BANCO BBC,2026-05-01
CDB,Pré-fixado,AA,4.0,14.55,15000,1000.0,BANCO BBC,2027-05-01
CDB,Pré-fixado,A,12.0,14.5,20000000,1.0,BMG,2030-05-01
CDB,Pré-fixado,AA,5.0,14.4,15000,1000.0,BANCO BBC,2027-11-01
CDB,Pré-fixado,AA,7.0,14.4,15000,1000.0,BANCO BBC,2028-05-01
CDB,Pré-fixado,A,9.0,14.39,20000000,1.0,BMG,2029-05-01
CDB,Pré-fixado,AA,2.0,14.35,15000,1000.0,BANCO BBC,2025-11-01
CDB,Pré-fixado,brAAA,2.0,14.34,1000,1000.0,BANCO BV,2025-11-01
CDB,Pré-fixado,,,14.34,10000,100.0,BANCO BV,2025-11-01
CDB,Pré-fixado,brAA+,2.0,14.33,15000,1000.0,DAYCOVAL,2025-08-01
CDB,Pré-fixado,brAA+,2.0,14.3,15000,1000.0,DAYCOVAL,2025-07-01
CDB,Pré-fixado,brAA+,2.0,14.27,15000,1000.0,DAYCOVAL,2025-06-01
CDB,Pré-fixado,BBB,9.0,14.2,5000,1000.0,OMNI BANCO,2027-05-01
CDB,Pré-fixado,AAA,4.0,14.2,10000,1000.0,BANCO ANDBANK (BRASIL),2027-05-01
CDB,Pré-fixado,A,8.0,14.12,20000000,1.0,BMG,2028-11-01
CDB,Pré-fixado,AAA,7.0,14.05,10000,1000.0,BANCO ANDBANK (BRASIL),2028-05-01
CDB,Pré-fixado,,11.0,13.6,5000,1000.0,BANCO INDUSTRIAL DO BRASI,2027-05-01
CDB,Pré-fixado,brAAA,9.0,13.49,10000,100.0,BANCO BV,2029-05-01
CDB,Pré-fixado,brAAA,9.0,13.49,1000,1000.0,BANCO BV,2029-05-01
CDB,Pré-fixado,brAAA,4.0,13.24,1000,1000.0,BANCO BV,2027-05-01
LCA,Pré-fixado,AAA,2.0,12.25,900,1000.0,BANCO BOCOM BBM,2026-02-01
LCA,Pré-fixado,AAA,2.0,12.18,2500,1000.0,BANCO BOCOM BBM,2026-05-01
LCI,Pré-fixado,A-.br,5.0,12.1,10000,1000.0,BANCO INTER,2026-05-01
LCI,Pré-fixado,AA+,2.0,12.08,5000,1000.0,BANCO RODOBENS,2026-05-01
LCA,Pré-fixado,brAAA,2.0,11.99,20000,100.0,BANCO BV,2026-05-01
LCA,Pré-fixado,AAA,9.0,11.89,1000,1000.0,BANCO BOCOM BBM,2029-05-01
LCI,Pré-fixado,,11.0,11.87,5000,1000.0,BANCO RODOBENS,2026-11-01
LCA,Pré-fixado,AAA,4.0,11.84,1150,1000.0,BANCO BOCOM BBM,2027-05-01
LCA,Pré-fixado,AAA,3.0,11.77,750,1000.0,BANCO BOCOM BBM,2026-11-01
LCA,Pré-fixado,brAAA,9.0,11.75,10000,100.0,BANCO BV,2029-05-01
LCA,Pré-fixado,AAA,7.0,11.68,1000,1000.0,BANCO BOCOM BBM,2028-05-01
LCA,Pré-fixado,brAAA,4.0,11.52,10000,100.0,BANCO BV,2027-05-01
CDB,Inflação,A,2.0,8.41,20000000,1.0,BMG,2026-11-01
CDB,Inflação,A,3.0,8.29,20000000,1.0,BMG,2027-05-01
CDB,Inflação,A,4.0,8.16,20000000,1.0,BMG,2027-11-01
CDB,Inflação,A,5.0,7.97,20000000,1.0,BMG,2028-11-01
CDB,Inflação,brAA+,3.0,7.87,10000,1000.0,PARANA BANCO,2027-05-01
CDB,Inflação,A,6.0,7.85,20000000,1.0,BMG,2029-05-01
CDB,Inflação,A,8.0,7.58,20000000,1.0,BMG,2030-05-01
CDB,Inflação,brAA+,4.0,7.52,10000,1000.0,PARANA BANCO,2028-05-01
CDB,Inflação,brAA+,6.0,7.2,10000,1000.0,PARANA BANCO,2029-05-01
CDB,Inflação,brAA+,8.0,7.18,10000,1000.0,PARANA BANCO,2030-05-01
CDB,Inflação,A,4.0,7.15,20000000,1.0,BMG,2028-05-01
CDB,Inflação,brAA+,8.0,6.98,15000,1000.0,DAYCOVAL,2030-05-01
CDB,Inflação,brAA+,9.0,6.93,15000,1000.0,DAYCOVAL,2031-05-01
LCA,Inflação,AA+,2.0,6.67,5000,1000.0,BANCO RODOBENS,2026-05-01
LCI,Inflação,,11.0,6.3,500,1000.0,BARI HIPOTECARIA,2028-05-01
LCA,Inflação,AA+,2.0,6.19,5000,1000.0,BANCO RODOBENS,2026-11-01
LCI,Inflação,,11.0,6.15,500,1000.0,BARI HIPOTECARIA,2029-05-01
LCI,Inflação,A-.br,9.0,5.84,10000,1000.0,BANCO INTER,2028-05-01
LCI,Inflação,,8.0,5.75,5000,1000.0,BANCO RODOBENS,2027-05-01
LCI,Inflação,AA+,4.0,5.44,5000,1000.0,BANCO RODOBENS,2028-05-01
CDB,Pós-fixado,,8.0,109.5,3000,1000.0,NEON FINANCEIRA,2026-11-01
CDB,Pós-fixado,,11.0,109.0,250,1000.0,PLANTAE CREDITO FINANC,2028-05-01
CDB,Pós-fixado,,8.0,108.0,250,1000.0,PLANTAE CREDITO FINANC,2027-05-01
CDB,Pós-fixado,BBB,7.0,105.0,8000,1000.0,OMNI BANCO,2027-05-01
CDB,Pós-fixado,BBB,7.0,104.0,5000,1000.0,OMNI BANCO,2026-05-01
CDB,Pós-fixado,A,4.0,103.0,20000000,1.0,BMG,2029-05-01
CDB,Pós-fixado,A,3.0,103.0,20000000,1.0,BMG,2028-05-01
CDB,Pós-fixado,,8.0,103.0,500,1000.0,CORA SOCIEDADE DE CREDITO,2026-05-01
CDB,Pós-fixado,A,3.0,103.0,20000000,1.0,BMG,2028-11-01
CDB,Pós-fixado,A,5.0,103.0,20000000,1.0,BMG,2030-05-01
CDB,Pós-fixado,AA,2.0,102.5,15000,1000.0,BANCO BBC,2027-05-01
CDB,Pós-fixado,AA,2.0,102.5,15000,1000.0,BANCO BBC,2027-11-01
CDB,Pós-fixado,AA,2.0,102.5,15000,1000.0,BANCO BBC,2026-11-01
CDB,Pós-fixado,AA,3.0,102.5,15000,1000.0,BANCO BBC,2028-05-01
CDB,Pós-fixado,AAA,3.0,102.4,10000,1000.0,BANCO ANDBANK (BRASIL),2028-05-01
CDB,Pós-fixado,A,2.0,102.0,20000000,1.0,BMG,2027-05-01
CDB,Pós-fixado,AA,2.0,102.0,15000,1000.0,BANCO BBC,2026-05-01
CDB,Pós-fixado,A,2.0,102.0,20000000,1.0,BMG,2027-11-01
CDB,Pós-fixado,AAA,1.0,101.9,10000,1000.0,BANCO ANDBANK (BRASIL),2027-05-01
CDB,Pós-fixado,brAAA,1.0,101.5,100000000,1.0,PAGBANK,2025-11-01
CDB,Pós-fixado,,8.0,101.5,500,1000.0,CORA SOCIEDADE DE CREDITO,2025-11-01
CDB,Pós-fixado,brAA+,5.0,101.4,10000,1000.0,PARANA BANCO,2030-05-01
CDB,Pós-fixado,AA+,5.0,101.4,2000,1000.0,BANCO RODOBENS,2030-05-01
CDB,Pós-fixado,AA+,4.0,101.2,2000,1000.0,BANCO RODOBENS,2029-05-01
CDB,Pós-fixado,AA+,3.0,100.7,2000,1000.0,BANCO RODOBENS,2028-05-01
CDB,Pós-fixado,,8.0,99.9,10000,1000.0,BANCO STELLANTIS,2025-11-01
CDB,Pós-fixado,brAAA,1.0,99.75,100000000,1.0,PAGBANK,2026-05-01
CDB,Pós-fixado,brAAA,4.0,99.7,5000,1000.0,BANCO BV,2029-05-01
CDB,Pós-fixado,brAAA,4.0,99.7,50000,100.0,BANCO BV,2029-05-01
CDB,Pós-fixado,AAA,1.0,99.69,10000,1000.0,BANCO STELLANTIS,2025-08-01
CDB,Pós-fixado,AAA,1.0,99.55,10000,1000.0,BANCO STELLANTIS,2025-07-01
CDB,Pós-fixado,AA,2.0,99.5,15000,1000.0,BANCO BBC,2025-11-01
CDB,Pós-fixado,AA+,2.0,98.7,2000,1000.0,BANCO RODOBENS,2027-05-01
CDB,Pós-fixado,brAAA,1.0,98.2,50000,100.0,BANCO BV,2025-11-01
CDB,Pós-fixado,brAAA,1.0,98.2,5000,1000.0,BANCO BV,2025-11-01
CDB,Pós-fixado,brAA+,2.0,97.5,20000,1000.0,DAYCOVAL,2025-11-01
CDB,Pós-fixado,AA+,2.0,97.0,2000,1000.0,BANCO RODOBENS,2025-08-01
CDB,Pós-fixado,brAA+,2.0,97.0,20000,1000.0,DAYCOVAL,2025-06-01
CDB,Pós-fixado,AA,2.0,97.0,15000,1000.0,BANCO BBC,2025-09-01
CDB,Pós-fixado,AA,2.0,97.0,15000,1000.0,BANCO BBC,2025-07-01
CDB,Pós-fixado,brAA+,2.0,97.0,20000,1000.0,DAYCOVAL,2025-08-01
CDB,Pós-fixado,AA,2.0,97.0,15000,1000.0,BANCO BBC,2025-08-01
CDB,Pós-fixado,brAA+,2.0,97.0,20000,1000.0,DAYCOVAL,2025-07-01
CDB,Pós-fixado,AA+,2.0,97.0,2000,1000.0,BANCO RODOBENS,2025-11-01
CDB,Pós-fixado,brAA+,2.0,97.0,20000,1000.0,DAYCOVAL,2025-09-01
CDB,Pós-fixado,AA,2.0,97.0,15000,1000.0,BANCO BBC,2025-06-01
LCA,Pós-fixado,,11.0,93.0,250,1000.0,PLANTAE CREDITO FINANC,2028-05-01
LCA,Pós-fixado,,8.0,92.0,250,1000.0,PLANTAE CREDITO FINANC,2027-05-01
LCA,Pós-fixado,AAA,4.0,89.5,400,1000.0,BANCO BOCOM BBM,2029-05-01
LCI,Pós-fixado,,,89.0,5000,1000.0,POUPEX,2026-05-01
LCA,Pós-fixado,brAAA,4.0,88.7,10000,100.0,BANCO BV,2029-05-01
LCA,Pós-fixado,AAA,3.0,88.5,650,1000.0,BANCO BOCOM BBM,2028-05-01
LCA,Pós-fixado,AAA,2.0,88.5,650,1000.0,BANCO BOCOM BBM,2027-05-01
LCA,Pós-fixado,AAA,2.0,86.0,1650,1000.0,BANCO BOCOM BBM,2026-02-01
LCA,Pós-fixado,AAA,2.0,86.0,1400,1000.0,BANCO BOCOM BBM,2026-05-01
LCA,Pós-fixado,AAA,2.0,86.0,400,1000.0,BANCO BOCOM BBM,2026-11-01
LCA,Pós-fixado,AA+,2.0,85.6,5000,1000.0,BANCO RODOBENS,2026-05-01
LCA,Pós-fixado,,8.0,85.6,5000,1000.0,BANCO RODOBENS,2026-11-01
LCA,Pós-fixado,,8.0,85.6,5000,1000.0,BANCO RODOBENS,2027-05-01
LCI,Pós-fixado,A-.br,5.0,84.0,10000,1000.0,BANCO INTER,2026-05-01
LCI,Pós-fixado,A-.br,5.0,83.0,10000,1000.0,BANCO INTER,2026-02-01
CDB,Pré-fixado,brAAA,2.0,14.9,20000,1000.0,BANCO CARREFOUR,2025-11-01
CDB,Pré-fixado,brBBB,7.0,14.81,10000,1000.0,ORIGINAL,2026-05-01
CDB,Pré-fixado,AA-.br,3.0,14.8,20000,1000.0,AGIBANK,2026-11-01
CDB,Pré-fixado,brAAA,2.0,14.76,20000,1000.0,BANCO CARREFOUR,2025-08-01
CDB,Pré-fixado,AAA,2.0,14.75,15000,1000.0,MERCADO LIVRE CFI,2025-11-01
CDB,Pré-fixado,brAAA,2.0,14.73,20000,1000.0,BANCO CARREFOUR,2026-05-01
CDB,Pré-fixado,brAAA,2.0,14.69,20000,1000.0,BANCO CARREFOUR,2025-07-01
CDB,Pré-fixado,AAA,2.0,14.67,50000,1000.0,MERCADO LIVRE CFI,2025-08-01
CDB,Pré-fixado,AAA,2.0,14.65,50000,1000.0,MERCADO LIVRE CFI,2025-09-01
CDB,Pré-fixado,AA-.br,4.0,14.6,20000,1000.0,AGIBANK,2027-05-01
CDB,Pré-fixado,AA-.br,4.0,14.6,20000,1000.0,AGIBANK,2027-05-01
CDB,Pré-fixado,brBBB,9.0,14.59,10000,1000.0,ORIGINAL,2027-05-01
CDB,Pré-fixado,,11.0,14.58,50000,1000.0,MERCADO LIVRE CFI,2025-06-01
CDB,Pré-fixado,brBBB,12.0,14.48,10000,1000.0,ORIGINAL,2028-05-01
CDB,Pré-fixado,AAA,2.0,14.4,50000,1000.0,MERCADO LIVRE CFI,2025-07-01
CDB,Pré-fixado,AA-.br,7.0,14.35,20000,1000.0,AGIBANK,2028-05-01
CDB,Pré-fixado,AA-.br,7.0,14.35,20000,1000.0,AGIBANK,2028-05-01
CDB,Pré-fixado,AA-.br,9.0,14.1,20000,1000.0,AGIBANK,2029-05-01
CDB,Pré-fixado,AA-.br,9.0,14.1,20000,1000.0,AGIBANK,2029-05-01
CDB,Inflação,AA-.br,3.0,8.35,20000,1000.0,AGIBANK,2027-05-01
CDB,Inflação,AA-.br,4.0,8.0,20000,1000.0,AGIBANK,2028-05-01
LCI,Inflação,,11.0,6.2,3000,1000.0,OXY,2028-05-01
LCI,Inflação,,8.0,6.0,3000,1000.0,OXY,2027-05-01
CDB,Pós-fixado,BBB-.br,7.0,108.0,5000,1000.0,BANCO DIGIMAIS,2027-05-01
CDB,Pós-fixado,AA-.br,2.0,106.15,20000,1000.0,AGIBANK,2027-05-01
CDB,Pós-fixado,A-.br,7.0,106.0,3000,1000.0,BANCO BARI DE INVESTIMENT,2028-05-01
CDB,Pós-fixado,BB,11.0,106.0,800,1000.0,LUSO BRASILEIRO,2028-05-01
CDB,Pós-fixado,AA-.br,3.0,105.55,20000,1000.0,AGIBANK,2028-05-01
CDB,Pós-fixado,BBB-.br,7.0,105.5,1000,1000.0,BANCO DIGIMAIS,2026-05-01
CDB,Pós-fixado,A-.br,5.0,105.0,3000,1000.0,BANCO BARI DE INVESTIMENT,2027-05-01
CDB,Pós-fixado,brBB,11.0,105.0,250,1000.0,FATOR,2028-05-01
CDB,Pós-fixado,brBB+,11.0,105.0,2000,1000.0,PAULISTA,2028-05-01
