product,indexer,ratingName,riskScore,minTax,quantityAvailable,puMinValue,bank,maturity_date
CDB,Pós-fixado,,11.0,116.0,19699,1000.0,DM FINANCEIRA,2029-05-01
CDB,Pós-fixado,,11.0,113.0,19879,1000.0,DM FINANCEIRA,2028-05-01
CDB,Pós-fixado,,11.0,113.0,3714,1000.0,PERNAMBUCANAS FINANCIADOR,2028-05-01
CDB,Pós-fixado,,8.0,112.0,1432,1000.0,DM FINANCEIRA,2027-05-01
CDB,Pós-fixado,,11.0,111.5,5743,1000.0,NEON FINANCEIRA,2028-05-01
CDB,Pós-fixado,,8.0,111.0,1638,1000.0,AFINZ,2027-05-01
CDB,Pós-fixado,brBBB,8.0,110.0,9666,1000.0,ORIGINAL,2028-05-01
CDB,Pós-fixado,,8.0,110.0,3950,1000.0,PERNAMBUCANAS FINANCIADOR,2027-05-01
CDB,Pós-fixado,brBBB,7.0,109.0,3885,1000.0,ORIGINAL,2027-05-01
CDB,Pós-fixado,,12.0,108.0,19998,1000.0,MIDWAY,2030-05-01
CDB,Pós-fixado,,8.0,108.0,822,1000.0,AFINZ,2026-05-01
CDB,Pós-fixado,,11.0,108.0,20000,1000.0,MIDWAY,2029-05-01
CDB,Pós-fixado,,11.0,108.0,20000,1000.0,MIDWAY,2028-05-01
CDB,Pós-fixado,brAAA,1.0,101.5,98948489,1.0,PAGBANK,2025-09-01
CDB,Pós-fixado,brAAA,1.0,101.25,99176460,1.0,PAGBANK,2025-08-01
CDB,Pós-fixado,brAAA,1.0,100.5,99609061,1.0,PAGBANK,2025-07-01
CDB,Pós-fixado,brAAA,1.0,100.0,393723,1000.0,BANCO XP,2027-05-01
CDB,Pós-fixado,,8.0,100.0,3000,1000.0,NEON FINANCEIRA,2025-08-01
CDB,Pós-fixado,brAAA,1.0,100.0,32886,1000.0,BANCO VOLKSWAGEN,2026-05-01
CDB,Pós-fixado,brAAA,1.0,100.0,99405978,1.0,PAGBANK,2025-06-01
CDB,Pós-fixado,brAAA,1.0,98.5,9978,1000.0,BANCO VOLKSWAGEN,2027-05-01
LCA,Pós-fixado,AAA,5.0,94.0,97185,1000.0,BANCO COOPERATIVO SICOOB,2030-04-01
LCD,Pós-fixado,AAA,6.0,94.0,56980,998.4853543,,2029-05-01
LCA,Pós-fixado,AAA,4.0,93.0,49912,1000.0,BANCO COOPERATIVO SICOOB,2029-04-01
LCA,Pós-fixado,brBBB,7.0,93.0,24761,1000.0,ORIGINAL,2027-05-01
LCD,Pós-fixado,brAAA,6.0,93.0,27918,10448.96003,,2030-03-01
LCA,Pós-fixado,brBBB,7.0,92.5,24815,1000.0,ORIGINAL,2026-11-01
LCD,Pós-fixado,AAA,3.0,92.0,20000,1074.451702,,2027-12-01
LCA,Pós-fixado,brBBB,7.0,92.0,24032,1000.0,ORIGINAL,2026-05-01
LCI,Pós-fixado,brAAA,2.0,92.0,1000,5000000.0,CEF,2027-05-01
LCD,Pós-fixado,brAAA,5.0,92.0,32170,10394.15185,,2029-03-01
LCD,Pós-fixado,AAA,2.0,91.0,9990,1065.034239,,2026-12-01
LCI,Pós-fixado,brAAA,2.0,91.0,1000,1000000.0,CEF,2027-05-01
LCA,Pós-fixado,AAA,3.0,91.0,50000,1000.0,BANCO COOPERATIVO SICOOB,2028-05-01
LCI,Pós-fixado,brAAA,2.0,90.5,1000,500000.0,CEF,2027-05-01
LCD,Pós-fixado,AAA,2.0,90.0,9990,1062.001082,,2026-06-01
LCI,Pós-fixado,brAAA,2.0,90.0,1000,250000.0,CEF,2027-05-01
LCA,Pós-fixado,AAA,2.0,90.0,49922,1000.0,BANCO COOPERATIVO SICOOB,2027-05-01
